"","KEGG","PathwayID"
"1","C00022","spu00010"
"2","C00024","spu00010"
"3","C00031","spu00010"
"4","C00033","spu00010"
"5","C00036","spu00010"
"6","C00068","spu00010"
"7","C00074","spu00010"
"8","C00084","spu00010"
"9","C00103","spu00010"
"10","C00111","spu00010"
"11","C00118","spu00010"
"12","C00186","spu00010"
"13","C00197","spu00010"
"14","C00221","spu00010"
"15","C00236","spu00010"
"16","C00267","spu00010"
"17","C00469","spu00010"
"18","C00631","spu00010"
"19","C00668","spu00010"
"20","C01159","spu00010"
"21","C01172","spu00010"
"22","C01451","spu00010"
"23","C05125","spu00010"
"24","C05345","spu00010"
"25","C05378","spu00010"
"26","C06186","spu00010"
"27","C06187","spu00010"
"28","C06188","spu00010"
"29","C15972","spu00010"
"30","C15973","spu00010"
"31","C16255","spu00010"
"32","C00022","spu00020"
"33","C00024","spu00020"
"34","C00026","spu00020"
"35","C00036","spu00020"
"36","C00042","spu00020"
"37","C00068","spu00020"
"38","C00074","spu00020"
"39","C00091","spu00020"
"40","C00122","spu00020"
"41","C00149","spu00020"
"42","C00158","spu00020"
"43","C00311","spu00020"
"44","C00417","spu00020"
"45","C05125","spu00020"
"46","C05379","spu00020"
"47","C05381","spu00020"
"48","C15972","spu00020"
"49","C15973","spu00020"
"50","C16254","spu00020"
"51","C16255","spu00020"
"52","C00022","spu00030"
"53","C00031","spu00030"
"54","C00117","spu00030"
"55","C00118","spu00030"
"56","C00119","spu00030"
"57","C00121","spu00030"
"58","C00197","spu00030"
"59","C00198","spu00030"
"60","C00199","spu00030"
"61","C00204","spu00030"
"62","C00221","spu00030"
"63","C00231","spu00030"
"64","C00257","spu00030"
"65","C00258","spu00030"
"66","C00279","spu00030"
"67","C00345","spu00030"
"68","C00577","spu00030"
"69","C00620","spu00030"
"70","C00631","spu00030"
"71","C00668","spu00030"
"72","C00672","spu00030"
"73","C00673","spu00030"
"74","C01151","spu00030"
"75","C01172","spu00030"
"76","C01218","spu00030"
"77","C01236","spu00030"
"78","C01801","spu00030"
"79","C03752","spu00030"
"80","C04442","spu00030"
"81","C05345","spu00030"
"82","C05378","spu00030"
"83","C05382","spu00030"
"84","C06019","spu00030"
"85","C06473","spu00030"
"86","C20589","spu00030"
"87","C00022","spu00040"
"88","C00026","spu00040"
"89","C00029","spu00040"
"90","C00103","spu00040"
"91","C00111","spu00040"
"92","C00116","spu00040"
"93","C00167","spu00040"
"94","C00181","spu00040"
"95","C00191","spu00040"
"96","C00199","spu00040"
"97","C00204","spu00040"
"98","C00216","spu00040"
"99","C00231","spu00040"
"100","C00259","spu00040"
"101","C00266","spu00040"
"102","C00309","spu00040"
"103","C00310","spu00040"
"104","C00312","spu00040"
"105","C00333","spu00040"
"106","C00379","spu00040"
"107","C00433","spu00040"
"108","C00470","spu00040"
"109","C00474","spu00040"
"110","C00476","spu00040"
"111","C00502","spu00040"
"112","C00508","spu00040"
"113","C00514","spu00040"
"114","C00532","spu00040"
"115","C00558","spu00040"
"116","C00618","spu00040"
"117","C00714","spu00040"
"118","C00789","spu00040"
"119","C00800","spu00040"
"120","C00817","spu00040"
"121","C00905","spu00040"
"122","C01068","spu00040"
"123","C01101","spu00040"
"124","C01508","spu00040"
"125","C01904","spu00040"
"126","C02266","spu00040"
"127","C02273","spu00040"
"128","C02426","spu00040"
"129","C02753","spu00040"
"130","C03033","spu00040"
"131","C03291","spu00040"
"132","C03826","spu00040"
"133","C04053","spu00040"
"134","C04349","spu00040"
"135","C04575","spu00040"
"136","C05385","spu00040"
"137","C05411","spu00040"
"138","C05412","spu00040"
"139","C06118","spu00040"
"140","C06441","spu00040"
"141","C14899","spu00040"
"142","C15930","spu00040"
"143","C20680","spu00040"
"144","C22337","spu00040"
"145","C00095","spu00051"
"146","C00096","spu00051"
"147","C00111","spu00051"
"148","C00118","spu00051"
"149","C00159","spu00051"
"150","C00186","spu00051"
"151","C00247","spu00051"
"152","C00267","spu00051"
"153","C00275","spu00051"
"154","C00325","spu00051"
"155","C00392","spu00051"
"156","C00424","spu00051"
"157","C00464","spu00051"
"158","C00507","spu00051"
"159","C00577","spu00051"
"160","C00636","spu00051"
"161","C00644","spu00051"
"162","C00665","spu00051"
"163","C00794","spu00051"
"164","C00861","spu00051"
"165","C00976","spu00051"
"166","C01019","spu00051"
"167","C01094","spu00051"
"168","C01096","spu00051"
"169","C01099","spu00051"
"170","C01131","spu00051"
"171","C01222","spu00051"
"172","C01355","spu00051"
"173","C01487","spu00051"
"174","C01720","spu00051"
"175","C01721","spu00051"
"176","C01768","spu00051"
"177","C01934","spu00051"
"178","C02431","spu00051"
"179","C02492","spu00051"
"180","C02888","spu00051"
"181","C02962","spu00051"
"182","C02977","spu00051"
"183","C02985","spu00051"
"184","C02991","spu00051"
"185","C03117","spu00051"
"186","C03267","spu00051"
"187","C03827","spu00051"
"188","C03979","spu00051"
"189","C05144","spu00051"
"190","C05345","spu00051"
"191","C05378","spu00051"
"192","C05392","spu00051"
"193","C06192","spu00051"
"194","C11516","spu00051"
"195","C11544","spu00051"
"196","C18028","spu00051"
"197","C18096","spu00051"
"198","C20781","spu00051"
"199","C00029","spu00052"
"200","C00031","spu00052"
"201","C00052","spu00052"
"202","C00085","spu00052"
"203","C00089","spu00052"
"204","C00095","spu00052"
"205","C00103","spu00052"
"206","C00111","spu00052"
"207","C00116","spu00052"
"208","C00118","spu00052"
"209","C00124","spu00052"
"210","C00137","spu00052"
"211","C00159","spu00052"
"212","C00243","spu00052"
"213","C00267","spu00052"
"214","C00446","spu00052"
"215","C00492","spu00052"
"216","C00577","spu00052"
"217","C00668","spu00052"
"218","C00794","spu00052"
"219","C00795","spu00052"
"220","C00880","spu00052"
"221","C00984","spu00052"
"222","C01097","spu00052"
"223","C01113","spu00052"
"224","C01132","spu00052"
"225","C01216","spu00052"
"226","C01235","spu00052"
"227","C01286","spu00052"
"228","C01613","spu00052"
"229","C01697","spu00052"
"230","C02262","spu00052"
"231","C02669","spu00052"
"232","C03383","spu00052"
"233","C03733","spu00052"
"234","C03785","spu00052"
"235","C05396","spu00052"
"236","C05399","spu00052"
"237","C05400","spu00052"
"238","C05401","spu00052"
"239","C05402","spu00052"
"240","C05404","spu00052"
"241","C05796","spu00052"
"242","C06311","spu00052"
"243","C06376","spu00052"
"244","C06377","spu00052"
"245","C00022","spu00053"
"246","C00026","spu00053"
"247","C00029","spu00053"
"248","C00072","spu00053"
"249","C00096","spu00053"
"250","C00137","spu00053"
"251","C00167","spu00053"
"252","C00191","spu00053"
"253","C00216","spu00053"
"254","C00231","spu00053"
"255","C00259","spu00053"
"256","C00333","spu00053"
"257","C00433","spu00053"
"258","C00545","spu00053"
"259","C00558","spu00053"
"260","C00617","spu00053"
"261","C00618","spu00053"
"262","C00652","spu00053"
"263","C00679","spu00053"
"264","C00684","spu00053"
"265","C00800","spu00053"
"266","C00818","spu00053"
"267","C00878","spu00053"
"268","C00879","spu00053"
"269","C01040","spu00053"
"270","C01041","spu00053"
"271","C01101","spu00053"
"272","C01114","spu00053"
"273","C01115","spu00053"
"274","C01146","spu00053"
"275","C01620","spu00053"
"276","C01825","spu00053"
"277","C02280","spu00053"
"278","C02670","spu00053"
"279","C03033","spu00053"
"280","C03064","spu00053"
"281","C03289","spu00053"
"282","C03291","spu00053"
"283","C03826","spu00053"
"284","C03921","spu00053"
"285","C04037","spu00053"
"286","C04575","spu00053"
"287","C05385","spu00053"
"288","C05411","spu00053"
"289","C05412","spu00053"
"290","C05422","spu00053"
"291","C06316","spu00053"
"292","C14899","spu00053"
"293","C15923","spu00053"
"294","C15924","spu00053"
"295","C15925","spu00053"
"296","C15926","spu00053"
"297","C15930","spu00053"
"298","C16186","spu00053"
"299","C20889","spu00053"
"300","C20896","spu00053"
"301","C21955","spu00053"
"302","C00024","spu00061"
"303","C00083","spu00061"
"304","C00154","spu00061"
"305","C00173","spu00061"
"306","C00229","spu00061"
"307","C00249","spu00061"
"308","C00383","spu00061"
"309","C00638","spu00061"
"310","C00685","spu00061"
"311","C00693","spu00061"
"312","C00712","spu00061"
"313","C01203","spu00061"
"314","C01209","spu00061"
"315","C01271","spu00061"
"316","C01530","spu00061"
"317","C01571","spu00061"
"318","C02679","spu00061"
"319","C02843","spu00061"
"320","C03939","spu00061"
"321","C04088","spu00061"
"322","C04180","spu00061"
"323","C04246","spu00061"
"324","C04618","spu00061"
"325","C04619","spu00061"
"326","C04620","spu00061"
"327","C04633","spu00061"
"328","C04688","spu00061"
"329","C05223","spu00061"
"330","C05744","spu00061"
"331","C05745","spu00061"
"332","C05746","spu00061"
"333","C05747","spu00061"
"334","C05748","spu00061"
"335","C05749","spu00061"
"336","C05750","spu00061"
"337","C05751","spu00061"
"338","C05752","spu00061"
"339","C05753","spu00061"
"340","C05754","spu00061"
"341","C05755","spu00061"
"342","C05756","spu00061"
"343","C05757","spu00061"
"344","C05758","spu00061"
"345","C05759","spu00061"
"346","C05760","spu00061"
"347","C05761","spu00061"
"348","C05762","spu00061"
"349","C05763","spu00061"
"350","C05764","spu00061"
"351","C06423","spu00061"
"352","C06424","spu00061"
"353","C08362","spu00061"
"354","C16219","spu00061"
"355","C16220","spu00061"
"356","C16221","spu00061"
"357","C16520","spu00061"
"358","C20683","spu00061"
"359","C20794","spu00061"
"360","C00024","spu00062"
"361","C00040","spu00062"
"362","C00083","spu00062"
"363","C00136","spu00062"
"364","C00154","spu00062"
"365","C00162","spu00062"
"366","C00249","spu00062"
"367","C00264","spu00062"
"368","C00605","spu00062"
"369","C00638","spu00062"
"370","C00640","spu00062"
"371","C00658","spu00062"
"372","C01832","spu00062"
"373","C01944","spu00062"
"374","C02593","spu00062"
"375","C02843","spu00062"
"376","C03221","spu00062"
"377","C05258","spu00062"
"378","C05259","spu00062"
"379","C05260","spu00062"
"380","C05261","spu00062"
"381","C05262","spu00062"
"382","C05263","spu00062"
"383","C05264","spu00062"
"384","C05265","spu00062"
"385","C05266","spu00062"
"386","C05267","spu00062"
"387","C05268","spu00062"
"388","C05269","spu00062"
"389","C05270","spu00062"
"390","C05271","spu00062"
"391","C05272","spu00062"
"392","C05273","spu00062"
"393","C05274","spu00062"
"394","C05275","spu00062"
"395","C05276","spu00062"
"396","C20876","spu00062"
"397","C20877","spu00062"
"398","C20878","spu00062"
"399","C20879","spu00062"
"400","C00010","spu00071"
"401","C00024","spu00071"
"402","C00071","spu00071"
"403","C00136","spu00071"
"404","C00154","spu00071"
"405","C00162","spu00071"
"406","C00226","spu00071"
"407","C00229","spu00071"
"408","C00249","spu00071"
"409","C00332","spu00071"
"410","C00340","spu00071"
"411","C00435","spu00071"
"412","C00489","spu00071"
"413","C00517","spu00071"
"414","C00527","spu00071"
"415","C00638","spu00071"
"416","C00823","spu00071"
"417","C00877","spu00071"
"418","C01144","spu00071"
"419","C01371","spu00071"
"420","C01832","spu00071"
"421","C01944","spu00071"
"422","C02593","spu00071"
"423","C02990","spu00071"
"424","C03221","spu00071"
"425","C03547","spu00071"
"426","C03561","spu00071"
"427","C05102","spu00071"
"428","C05258","spu00071"
"429","C05259","spu00071"
"430","C05260","spu00071"
"431","C05261","spu00071"
"432","C05262","spu00071"
"433","C05263","spu00071"
"434","C05264","spu00071"
"435","C05265","spu00071"
"436","C05266","spu00071"
"437","C05267","spu00071"
"438","C05268","spu00071"
"439","C05269","spu00071"
"440","C05270","spu00071"
"441","C05271","spu00071"
"442","C05272","spu00071"
"443","C05273","spu00071"
"444","C05274","spu00071"
"445","C05275","spu00071"
"446","C05276","spu00071"
"447","C05279","spu00071"
"448","C05280","spu00071"
"449","C20683","spu00071"
"450","C00024","spu00072"
"451","C00164","spu00072"
"452","C00207","spu00072"
"453","C00332","spu00072"
"454","C00356","spu00072"
"455","C01089","spu00072"
"456","C00187","spu00100"
"457","C00448","spu00100"
"458","C00751","spu00100"
"459","C01054","spu00100"
"460","C01164","spu00100"
"461","C01189","spu00100"
"462","C01561","spu00100"
"463","C01673","spu00100"
"464","C01694","spu00100"
"465","C01724","spu00100"
"466","C01753","spu00100"
"467","C01789","spu00100"
"468","C01802","spu00100"
"469","C01902","spu00100"
"470","C01943","spu00100"
"471","C02141","spu00100"
"472","C02530","spu00100"
"473","C03428","spu00100"
"474","C03845","spu00100"
"475","C04525","spu00100"
"476","C05103","spu00100"
"477","C05107","spu00100"
"478","C05108","spu00100"
"479","C05109","spu00100"
"480","C05437","spu00100"
"481","C05439","spu00100"
"482","C05440","spu00100"
"483","C05441","spu00100"
"484","C05442","spu00100"
"485","C05443","spu00100"
"486","C07712","spu00100"
"487","C08813","spu00100"
"488","C08821","spu00100"
"489","C08830","spu00100"
"490","C11455","spu00100"
"491","C11508","spu00100"
"492","C11522","spu00100"
"493","C11523","spu00100"
"494","C15776","spu00100"
"495","C15777","spu00100"
"496","C15778","spu00100"
"497","C15780","spu00100"
"498","C15781","spu00100"
"499","C15782","spu00100"
"500","C15783","spu00100"
"501","C15808","spu00100"
"502","C15816","spu00100"
"503","C15915","spu00100"
"504","C18231","spu00100"
"505","C21106","spu00100"
"506","C22112","spu00100"
"507","C22116","spu00100"
"508","C22119","spu00100"
"509","C22120","spu00100"
"510","C22121","spu00100"
"511","C22122","spu00100"
"512","C22123","spu00100"
"513","C22136","spu00100"
"514","C00082","spu00130"
"515","C00156","spu00130"
"516","C00223","spu00130"
"517","C00251","spu00130"
"518","C00341","spu00130"
"519","C00353","spu00130"
"520","C00390","spu00130"
"521","C00423","spu00130"
"522","C00544","spu00130"
"523","C00811","spu00130"
"524","C00828","spu00130"
"525","C00885","spu00130"
"526","C01179","spu00130"
"527","C02059","spu00130"
"528","C02477","spu00130"
"529","C02483","spu00130"
"530","C02730","spu00130"
"531","C02949","spu00130"
"532","C03160","spu00130"
"533","C03313","spu00130"
"534","C03657","spu00130"
"535","C03964","spu00130"
"536","C03993","spu00130"
"537","C04145","spu00130"
"538","C05427","spu00130"
"539","C05807","spu00130"
"540","C05817","spu00130"
"541","C05819","spu00130"
"542","C05847","spu00130"
"543","C05848","spu00130"
"544","C05849","spu00130"
"545","C06986","spu00130"
"546","C10793","spu00130"
"547","C13309","spu00130"
"548","C14151","spu00130"
"549","C14152","spu00130"
"550","C14153","spu00130"
"551","C14154","spu00130"
"552","C14155","spu00130"
"553","C14156","spu00130"
"554","C15547","spu00130"
"555","C15882","spu00130"
"556","C15883","spu00130"
"557","C16519","spu00130"
"558","C16695","spu00130"
"559","C16999","spu00130"
"560","C17010","spu00130"
"561","C17017","spu00130"
"562","C17018","spu00130"
"563","C17412","spu00130"
"564","C17551","spu00130"
"565","C17552","spu00130"
"566","C17554","spu00130"
"567","C17559","spu00130"
"568","C17570","spu00130"
"569","C18131","spu00130"
"570","C18132","spu00130"
