"","PATHWAY","V1"
"1","spu04150","ECB-GENEPAGE-23041495"
"2","spu03013","ECB-GENEPAGE-23041495"
"3","spu04310","ECB-GENEPAGE-23040430"
"4","spu00760","ECB-GENEPAGE-23050446"
"5","spu01100","ECB-GENEPAGE-23050446"
"6","spu00760","ECB-GENEPAGE-23055993"
"7","spu01100","ECB-GENEPAGE-23055993"
"8","spu04120","ECB-GENEPAGE-23166240"
"9","spu00340","ECB-GENEPAGE-23156761"
"10","spu01100","ECB-GENEPAGE-23156761"
"11","spu04080","ECB-GENEPAGE-23064721"
"12","spu00513","ECB-GENEPAGE-23133363"
"13","spu01100","ECB-GENEPAGE-23133363"
"14","spu00510","ECB-GENEPAGE-23133363"
"15","spu00561","ECB-GENEPAGE-23062604"
"16","spu01100","ECB-GENEPAGE-23062604"
"17","spu04150","ECB-GENEPAGE-23136848"
"18","spu04068","ECB-GENEPAGE-23136848"
"19","spu04140","ECB-GENEPAGE-23136848"
"20","spu00983","ECB-GENEPAGE-23126952"
"21","spu01100","ECB-GENEPAGE-23126952"
"22","spu00040","ECB-GENEPAGE-23126952"
"23","spu00980","ECB-GENEPAGE-23126952"
"24","spu00982","ECB-GENEPAGE-23126952"
"25","spu01240","ECB-GENEPAGE-23126952"
"26","spu00830","ECB-GENEPAGE-23126952"
"27","spu00053","ECB-GENEPAGE-23126952"
"28","spu00860","ECB-GENEPAGE-23126952"
"29","spu04080","ECB-GENEPAGE-23064731"
"30","spu04145","ECB-GENEPAGE-23147203"
"31","spu04080","ECB-GENEPAGE-23089444"
"32","spu03022","ECB-GENEPAGE-23013814"
"33","spu04146","ECB-GENEPAGE-23089519"
"34","spu01200","ECB-GENEPAGE-23089519"
"35","spu00630","ECB-GENEPAGE-23089519"
"36","spu00380","ECB-GENEPAGE-23089519"
"37","spu04068","ECB-GENEPAGE-23089519"
"38","spu01100","ECB-GENEPAGE-23089519"
"39","spu04080","ECB-GENEPAGE-23041183"
"40","spu04080","ECB-GENEPAGE-23073250"
"41","spu00220","ECB-GENEPAGE-23105366"
"42","spu00330","ECB-GENEPAGE-23105366"
"43","spu01100","ECB-GENEPAGE-23105366"
"44","spu04145","ECB-GENEPAGE-23105366"
"45","spu03060","ECB-GENEPAGE-23165282"
"46","spu01100","ECB-GENEPAGE-23115314"
"47","spu00340","ECB-GENEPAGE-23115314"
"48","spu04144","ECB-GENEPAGE-23152678"
"49","spu00785","ECB-GENEPAGE-23096461"
"50","spu01240","ECB-GENEPAGE-23096461"
"51","spu01100","ECB-GENEPAGE-23096461"
"52","spu01100","ECB-GENEPAGE-23012255"
"53","spu01240","ECB-GENEPAGE-23012255"
"54","spu00053","ECB-GENEPAGE-23012255"
"55","spu00830","ECB-GENEPAGE-23018391"
"56","spu01100","ECB-GENEPAGE-23018391"
"57","spu00330","ECB-GENEPAGE-23157065"
"58","spu01100","ECB-GENEPAGE-23157065"
"59","spu04310","ECB-GENEPAGE-23110259"
"60","spu04141","ECB-GENEPAGE-23187541"
"61","spu00534","ECB-GENEPAGE-23118173"
"62","spu04144","ECB-GENEPAGE-23105256"
"63","spu04080","ECB-GENEPAGE-23107087"
"64","spu00604","ECB-GENEPAGE-23018398"
"65","spu01100","ECB-GENEPAGE-23018398"
"66","spu04080","ECB-GENEPAGE-23187531"
"67","spu00830","ECB-GENEPAGE-23019850"
