"","Class.L3","Class.L1"
"1","Immunity_ReceptorOtherPRR","Immunity"
"2","Immunity_ReceptorOtherPRR","Immunity"
"3","Immunity_ReceptorOtherPRR","Immunity"
"4","Immunity_ReceptorOtherPRR","Immunity"
"5","Signaling_WntFzd","Signaling"
"6","Metabolism_AminoAcid","Metabolism"
"7","Metabolism_AminoAcid","Metabolism"
"8","Metabolism_AminoAcid","Metabolism"
"9","Immunity_ReceptorNLR","Immunity"
"10","Immunity_ReceptorNLR","Immunity"
"11","Immunity_ReceptorNLR","Immunity"
"12","Immunity_ReceptorNLR","Immunity"
"13","Immunity_ReceptorNLR","Immunity"
"14","ZNF","ZNF"
"15","ZNF","ZNF"
"16","ZNF","ZNF"
"17","ZNF","ZNF"
"18","Metabolism_Energy","Metabolism"
"19","Metabolism_Nucleotide","Metabolism"
"20","Metabolism_Lipid","Metabolism"
"21","DNAReplication","DNAReplication"
"22","Kinase_Other","Kinase"
"23","Metabolism_AminoAcid","Metabolism"
"24","Metabolism_Lipid","Metabolism"
"25","Metabolism_Lipid","Metabolism"
"26","Nervous_Retinal","Nervous"
"27","Nervous_Retinal","Nervous"
"28","Nervous_Retinal","Nervous"
"29","Cytoskeleton_Tubulin","Cytoskeleton"
"30","Cytoskeleton_Tubulin","Cytoskeleton"
"31","Cytoskeleton_Tubulin","Cytoskeleton"
"32","Metabolism_SecondaryMetabolites","Metabolism"
"33","GPCRRhodopsin_All","GPCRRhodopsin"
"34","CalciumToolkit","CalciumToolkit"
"35","Nervous_Chemosensory","Nervous"
"36","Metabolism_AminoAcid","Metabolism"
"37","Kinase_TKL","Kinase"
"38","Immunity_Signal","Immunity"
"39","Metalloprotease","Metalloprotease"
"40","Nervous_NeurotransmitterRelated","Nervous"
"41","Metabolism_Energy","Metabolism"
"42","GPCRRhodopsin_All","GPCRRhodopsin"
"43","GPCRRhodopsin_All","GPCRRhodopsin"
"44","Nervous_Chemosensory","Nervous"
"45","Nervous_Chemosensory","Nervous"
"46","Nervous_NOSignaling","Nervous"
"47","Nervous_NOSignaling","Nervous"
"48","Metabolism_InorganicIon","Metabolism"
"49","Nervous_Retinal","Nervous"
"50","Nervous_VGIC","Nervous"
"51","Cytoskeleton_MicrotubuleAssociated","Cytoskeleton"
"52","Kinase_TKL","Kinase"
"53","EggActivation","EggActivation"
"54","Metabolism_Nucleotide","Metabolism"
"55","Nervous_NOSignaling","Nervous"
"56","Metabolism_Nucleotide","Metabolism"
"57","Nervous_NOSignaling","Nervous"
"58","Cytoskeleton_Actin_Binding","Cytoskeleton"
"59","TF_bHLH","TF"
"60","Nervous_TF","Nervous"
"61","Defensome_Sensor","Defensome"
"62","Nervous_Circadian","Nervous"
"63","Metabolism_Energy","Metabolism"
"64","Adhesion_ECMCollagen","Adhesion"
"65","Adhesion_ECMCollagen","Adhesion"
"66","Adhesion_ECMCollagen","Adhesion"
"67","Biomineralization_Collagen","Biomineralization"
"68","Biomineralization_Collagen","Biomineralization"
"69","Biomineralization_Collagen","Biomineralization"
"70","Nervous_GrowthFactorRelated","Nervous"
"71","Kinase_CMGC","Kinase"
"72","CellCycle","CellCycle"
"73","Metabolism_Carbohydrate","Metabolism"
"74","Nervous_NeurotransmitterRelated","Nervous"
"75","Adhesion_ReceptorIgFN3","Adhesion"
"76","Adhesion_ReceptorIgFN3","Adhesion"
"77","Adhesion_ReceptorIgFN3","Adhesion"
"78","Defensome_BiotransformationReductiveConjugative","Defensome"
"79","Metabolism_InorganicIon","Metabolism"
"80","Metabolism_Coenzyme","Metabolism"
"81","Metabolism_InorganicIon","Metabolism"
"82","Metabolism_InorganicIon","Metabolism"
"83","Nervous_Retinal","Nervous"
"84","Adhesion_ReceptorIgFN3","Adhesion"
"85","Metabolism_Nucleotide","Metabolism"
"86","Immunity_ReceptorTLR","Immunity"
"87","GTPase_RhoRegulator_RhoGAP","GTPase"
"88","GTPase_RhoRegulator_RhoGAP","GTPase"
