"",Label,Glyoxylic acid-meto-TMS,Pyruvic acid-meto-TMS,Lactic acid-2TMS,Caproic acid-TMS,Glycolic acid-2TMS,Alanine-2TMS,Hydroxylamine-3TMS,Glycine-2TMS,Oxalic acid-2TMS,3-Hydroxypropionic acid-2TMS,2-Aminoisobutyric acid-2TMS,3-Hydroxybutyric acid-2TMS,2-Aminobutyric acid-2TMS,3-Aminopropanoic acid-2TMS,3-Aminoisobutyric acid-2TMS,Valine-2TMS,Urea-2TMS,Serine-2TMS,Benzoic acid-TMS,2-Aminoethanol-3TMS,Glycerol-3TMS,Octanoic acid-TMS,Leucine-2TMS,Phosphoric acid-3TMS,Isoleucine-2TMS,Acetylglycine-TMS,Proline-2TMS,Glycine-3TMS,Maleic acid-2TMS,Nicotinic acid-TMS,Succinic acid-2TMS,Glyceric acid-3TMS,Uracil-2TMS,Serine-3TMS,Fumaric acid-2TMS,Nonanoic acid-TMS,Threonine-3TMS,Thymine-2TMS,Glutaric acid-2TMS,3-Aminopropanoic acid-3TMS,Glutaconic acid-2TMS,3-Aminoisobutyric acid-3TMS,Decanoic acid-TMS,Citramalic acid-3TMS,Malic acid-3TMS,Niacinamide-TMS,Adipic acid-2TMS,Aspartic acid-3TMS,3-Aminoglutaric acid-2TMS,4-Hydroxyproline-3TMS,Methionine-2TMS,4-Aminobutyric acid-3TMS,5-Oxoproline-2TMS,Cytosine-2TMS,Threonic acid-4TMS,Cysteine-3TMS,Creatinine-3TMS,2-Hydroxyglutaric acid-3TMS,3-Hydroxyglutaric acid-3TMS,2-Isopropylmalic acid-3TMS,O-Phosphoethanolamine-3TMS,2-Ketoglutaric acid-meto-2TMS,Hypotaurine-3TMS,Ornithine-3TMS,Glutamic acid-13C5-3TMS,Asparagine-4TMS,Glutamic acid-3TMS,Triethanolamine-3TMS,5-Aminovaleric acid-3TMS,Phenylalanine-2TMS,Xylose-meto-4TMS(2),Lauric acid-TMS,Ribose-meto-4TMS,Homocysteine-3TMS,Asparagine-3TMS,3-Sulfinoalanine-3TMS,Ribonolactone-3TMS,Ureidopropionic acid-2TMS,Arabitol-5TMS,Lysine-3TMS,"1,6-Anhydroglucose-3TMS",2-Aminoadipic acid-3TMS,Glutamine-4TMS,Putrescine-4TMS,Dihydroxyacetone phosphate-meto-3TMS(1),Glycerol 3-phosphate-4TMS,Dihydroxyacetone phosphate-meto-3TMS(2),Glutamine-3TMS,O-Phosphoethanolamine-4TMS,2-Deoxy-glucose-4TMS(2),3-Phosphoglyceric acid-4TMS,Azelaic acid-2TMS,Glycyl-Glycine-4TMS,2-Aminopimelic acid-3TMS,Citric acid-4TMS,Ornithine-4TMS,Arginine-3TMS,O-Phospho-Serine-4TMS,Hypoxanthine-2TMS,Glycyl-Glycine-3TMS,Cadaverine-4TMS,Methionine sulfone-2TMS,Myristic acid-TMS,Mannose-meto-5TMS(1),Galactose-meto-5TMS(1),Glucose-meto-5TMS(1),Galactose-meto-5TMS(2),Adenine-2TMS,Glucose-meto-5TMS(2),Glucosamine-5TMS(1),Mannitol-6TMS,N-Acetylglutamine-3TMS,Sorbitol-6TMS,Lysine-4TMS,Tyramine-3TMS,Histidine-3TMS,Glucuronic acid-meto-5TMS(2),Ureidosuccinic acid-3TMS,Ascorbic acid-4TMS,Tyrosine-3TMS,N6-Acetyllysine-2TMS,1-Hexadecanol-TMS,Gluconic acid-6TMS,Glucaric acid-6TMS,Palmitoleic acid-TMS,Palmitic acid-TMS,Inositol-6TMS(2),Ribose 5-phosphate-meto-5TMS(1),Ribose 5-phosphate-meto-5TMS(2),Ribulose 5-phosphate-meto-5TMS(2),Uric acid-4TMS,Guanine-3TMS,Margaric acid-TMS,Octadecanol-TMS,Cystathionine-4TMS,Linoleic acid-TMS,Oleic acid-TMS,Tryptophan-3TMS,Elaidic acid-TMS,Tryptamine-3TMS,Stearic acid-TMS,Glucose 6-phosphate-meto-6TMS(1),Oleamide-TMS,Sedoheptulose 7-phosphate-meto-7TMS,Docosahexaenoic acid-TMS,Sucrose-8TMS,Adenosine-4TMS,Lactose-meto-8TMS(1),Lactose-meto-8TMS(2),Maltose-meto-8TMS(1),Trehalose-8TMS,Lactitol-9TMS,Uridine monophosphate-5TMS
2DG-1,2DG,0.300119014,0.018668513,0.523755516,0.041598886,0.050726151,30.00281113,0.334316296,34.39894536,0.143434668,0.036613644,0.044841037,0.075560852,0.028715259,0.098737436,0.019245913,8.379968411,0.190001366,0.251813581,0.128023558,0.054674254,0.038452606,0.019189262,4.454000519,4.271936757,2.567955557,0.0005576556,1.648123823,56.52325598,0.021470534,0.127729411,0.206238267,0.013230067,0.010809348,23.72722954,0.075783096,0.213435057,2.607244847,0.007092205,0.000669903,0.21847695,0.003871843,0.014862037,0.02792651,0.00414638,0.054804986,0.092922046,0.001298603,0.457343717,0.476504654,0.097142507,0.021455281,0.021459639,13.83725119,0.25039514,0.016589876,0.153651365,0.172051878,0.238548653,0.287390085,0.350385424,0.008388629,0.033587201,0.04201505,0.64393516,0.004693275,0.012813904,3.512430251,0.008218678,0.007083489,1.551774422,0.000691906,0.030087944,0.0003107922,0.0003053446,0.319227658,0.0003141946,0.058657219,0.000224612,0.001974051,0.013284539,0.016500543,0.146729112,0.020989004,0.029861342,0.311978575,0.643911193,0.273770002,1.747135796,0.000546345,0.009608794,0.0003854236,0.0003555598,0.448438697,0.059215008,0.093935218,1.620064402,0.105106258,0.005540853,0.00666079,1.649801549,1.603668445,0.123402186,0.048939482,0.002089531,0.021586013,0.018768741,0.403510505,0.189423967,0.452186344,0.0005178672,0.398653815,0.023810634,0.026381695,2.956532123,0.156891337,0.620080949,0.0007894876,0.038461321,0.01829157,0.876474504,0.012269188,0.007610775,0.014288995,0.00550817,0.0009335578,0.778530174,0.054358319,0.001146625,0.004294542,0.002230638,0.003558086,0.0004339294,0.01090086,0.047329301,0.002963256,0.005580073,0.023268097,0.428637174,0.0006820708,0.087267892,0.82341261,0.004172526,0.17041773,0.005479845,0.006096464,0.011465186,0.013495888,0.083746847,0.018513814,0.0016786094,0.0006033892,0.0007900274,0.007582449
2DG-2,2DG,0.252934745,0.04708554,1.089389358,0.054826573,0.078332503,35.82143132,0.283257157,37.95216667,0.149627487,0.058726798,0.052107585,0.073201128,0.02359387,0.104131985,0.021107803,8.828875008,0.229856627,0.296478946,0.146637552,0.061234256,0.081191718,0.023971771,3.741003292,7.927487936,2.236352796,0.0005576556,1.38529551,60.79179073,0.021934907,0.490385047,0.221371675,0.017530813,0.019836248,20.55961536,0.080150707,0.329933898,3.234777293,0.011408338,0.004114132,0.296305444,0.009528339,0.019066185,0.034446052,0.003008949,0.052117092,0.083475762,0.002602527,0.969238164,1.031223469,0.864500112,0.022251013,0.030964132,29.34720882,0.130594576,0.011073218,0.608321121,0.091193028,0.261395929,0.344995281,0.428632662,0.062268137,0.060853978,0.084443094,1.65134509,0.004648898,0.037747339,5.301989589,0.011508161,0.009385735,1.50925899,0.000691906,0.030179808,0.0003107922,0.003745738,0.818051537,0.0003141946,0.136065825,0.001651832,0.0003948102,0.014089298,0.024207068,0.212727482,0.153993554,0.041417022,0.303414265,0.647375666,0.27773362,4.121466622,0.007470085,0.014452939,0.0003854236,0.001777799,0.57356847,0.036509059,0.045923315,1.764620383,0.199046983,0.018310383,0.013136226,1.483820772,1.468010716,0.142608983,0.051537168,0.0003513788,0.01742386,0.014973444,0.016356705,0.126390128,0.018773847,0.00450154,0.015933646,0.026869014,0.025186284,3.55997673,0.111102955,1.198638458,0.004192564,0.016872457,0.030146534,2.189165057,0.030291515,0.008439794,0.157233046,0.009366721,0.005435598,0.698977006,0.018619359,0.026208281,0.027857736,0.030465017,0.000355152,0.004972134,0.008522979,0.050712441,0.010517062,0.005105231,0.048209736,0.797236073,0.007032765,0.038947592,0.748425022,0.00450867,0.45463892,0.013007882,0.007028012,0.004541945,0.016884341,0.0009806016,0.002284224,0.008591905,0.0006033892,0.003950137,0.020073922
2DG-3,2DG,0.279700933,0.056558822,0.874344991,0.054687888,0.076558034,31.92876504,0.488922491,39.24989908,0.207603588,0.060638812,0.04483981,0.091407793,0.009219424,0.033223487,0.01020874,5.912831389,0.216600102,0.247321496,0.192773865,0.067706786,0.0062547636,0.026799194,2.974071855,7.281608986,2.030236804,0.0005576556,1.228968456,64.87084266,0.027300113,0.444899179,0.206013168,0.015037604,0.015333146,22.98375513,0.049961712,0.368443834,2.439205027,0.010404098,0.004686102,0.095500305,0.004448165,0.007891987,0.031891041,0.004197706,0.039262071,0.111487151,0.003401243,0.538080227,0.557530932,0.070794955,0.039247044,0.01468696,23.37508848,0.121054714,0.01123312,0.338328553,0.079999351,0.280151761,0.382474589,0.474383302,0.019360539,0.046678185,0.062204185,1.461475257,0.00351896,0.027918749,2.630308325,0.010436658,0.006922708,1.192947334,0.000691906,0.036885208,0.0003107922,0.0003053446,0.70550506,0.001590419,0.056300849,0.002649864,0.0003948102,0.007962116,0.022619021,0.363314418,0.102783675,0.03727843,0.381768293,0.71826348,0.32082893,3.333975011,0.000546345,0.01250796,0.0003854236,0.0003555598,0.497518269,0.064678728,0.092354531,0.70370175,0.171958155,0.030874174,0.007846904,1.671385579,1.617634411,0.0199422214,0.080197214,0.004718662,0.019708678,0.018125773,0.031860986,0.170841104,0.038806235,0.009189368,0.029849794,0.024910727,0.047594868,2.697296292,0.114675504,0.450537028,0.0007894876,0.040429214,0.020948454,1.256003082,0.010847412,0.006942744,0.026688992,0.008114896,0.006201384,0.780941034,0.041318346,0.010667081,0.009953271,0.002230638,0.00177576,0.0004339294,0.011721517,0.049803923,0.007338471,0.004926543,0.046971223,0.440243132,0.00821508,0.0038118486,0.795743206,0.002845223,0.476795229,0.011283212,0.007511288,0.003148279,0.013512304,0.058434766,0.012022068,0.0016786094,0.0006033892,0.0007900274,0.013409615
Cer-1,Cer,0.248581236,0.047716941,1.519285699,0.044181553,0.062703339,33.62121826,0.326090964,37.29124888,0.157782002,0.03924449,0.047119309,0.072750274,0.020881112,0.062736941,0.015948849,7.996414593,0.190769358,0.332744118,0.146316591,0.062710539,0.0062547636,0.021742758,4.483676347,5.681476927,2.615203254,0.004253026,1.836957014,61.28156792,0.018185768,0.263061207,0.295544537,0.017717743,0.009782921,20.7876197,0.080452284,0.222179831,2.282233524,0.007464397,0.007925222,0.154018601,0.005858712,0.011628619,0.026624618,0.003309776,0.049711447,0.091252859,0.010814976,0.434603142,0.457987587,0.087035834,0.01971945,0.018672994,15.96940394,0.213556171,0.014004746,0.054869322,0.122149704,0.331181635,0.367428365,0.446428571,0.012538268,0.038766864,0.060142402,0.42536505,0.0003823528,0.008136433,2.222758357,0.017602537,0.009226091,1.437491744,0.000691906,0.036366736,0.002738546,0.0003053446,0.411609917,0.0003141946,0.035773905,0.000224612,0.0003948102,0.007147581,0.019102617,0.111250724,0.00487946,0.03286255,0.374083919,0.809061481,0.344531146,1.392609354,0.000546345,0.009730118,0.0003854236,0.0003555598,0.394631413,0.076184857,0.11944476,1.305014289,0.098710056,0.004709051,0.009346098,1.595633764,1.59292882,0.113278832,0.072935084,0.001756894,0.007764413,0.011715024,0.388155869,0.204973314,0.43306226,0.005935516,0.399189256,0.021133125,0.031960102,2.774991763,0.133118288,0.493027053,0.0007894876,0.025695768,0.02085471,1.090702078,0.014143953,0.007742812,0.00639394,0.0006363014,0.011107791,0.922409916,0.053657257,0.015065602,0.014943196,0.01614806,0.000355152,0.0004339294,0.010596564,0.048206567,0.002599338,0.005805909,0.070347746,0.561922721,0.007092378,0.09070323,0.957559788,0.015428022,0.815789039,0.010428555,0.015363218,0.027656673,0.011765426,0.088384706,0.01709131,0.0016786094,0.0006033892,0.0007900274,0.009554909
Cer-2,Cer,0.293365409,0.036992983,0.675514517,0.057228715,0.063639715,40.70428423,0.306992838,41.26121417,0.208689938,0.061680197,0.007113295,0.078907733,0.023789891,0.173229433,0.023911516,10.1249932,0.238758393,0.250966861,0.146579999,0.069731786,0.049331185,0.028079206,5.414235352,5.5524124,3.042278912,0.0005576556,2.284110606,69.19364065,0.023625021,0.429823487,0.178264717,0.013351745,0.019733014,24.69462829,0.061423433,0.365526996,3.888390352,0.010557068,0.00413796,0.335142316,0.008459709,0.014676109,0.034698321,0.003386586,0.035195633,0.081318614,0.002562238,0.766622609,0.812061787,0.844327604,0.033533421,0.02277905,30.21183425,0.123990143,0.013603104,0.499609329,0.127490246,0.239088132,0.357794336,0.423190859,0.056015166,0.058093605,0.069150688,1.691349881,0.003897412,0.036755138,4.735769397,0.009435413,0.008827287,1.844303041,0.000691906,0.032776642,0.0003107922,0.005162314,1.056060875,0.0003141946,0.141609582,0.000224612,0.0003948102,0.011321956,0.027035932,0.200273474,0.12053869,0.031427954,0.32302304,0.676922666,0.290251803,4.469931827,0.006324511,0.015286937,0.0003854236,0.0003555598,0.539775378,0.058874709,0.096473115,1.850122131,0.255594024,0.014908548,0.010027323,1.683382079,1.698496038,0.130479524,0.055363795,0.003148742,0.009446225,0.009789478,0.019038399,0.184178405,0.022246602,0.004756897,0.01988437,0.026106175,0.046855436,3.402743597,0.117392651,1.212362782,0.005867741,0.01995194,0.026419698,2.593406214,0.033957758,0.009378655,0.131574151,0.008100239,0.009300274,0.783958256,0.017257266,0.02004924,0.016716709,0.021395226,0.000355152,0.0004339294,0.009170541,0.05103664,0.008084022,0.004824467,0.052569118,0.877158301,0.007389407,0.029163022,0.817161937,0.018632982,0.524420872,0.0081597,0.011678723,0.0006296558,0.013930141,0.0009806016,0.002284224,0.009611094,0.0006033892,0.0007900274,0.020454657
Cer-3,Cer,0.277856539,0.050112775,0.928439904,0.052084731,0.073670525,31.29777484,0.435487661,39.68717856,0.181169201,0.053491164,0.038583468,0.082711527,0.00896478,0.034946905,0.007312467,5.975574053,0.149204818,0.293005198,0.200952694,0.064789344,0.069792999,0.025689528,3.373724977,6.221055591,2.150792302,0.002788278,1.32089613,61.470996,0.023798712,0.40886133,0.236273337,0.014787215,0.018770469,20.99154335,0.048907964,0.339429775,2.262257021,0.008898392,0.007875532,0.06786776,0.00280303,0.005335593,0.031925041,0.002908759,0.03501821,0.100926307,0.00579293,0.418089202,0.433641103,0.055364769,0.028281102,0.00968029,20.69990032,0.104282568,0.018315591,0.22177626,0.084378593,0.280470242,0.387521417,0.461041955,0.024828949,0.037681089,0.062345298,1.190860106,0.00214899,0.011991561,1.941479693,0.01299721,0.009375399,1.20939453,0.00345953,0.039426836,0.001553961,0.00315218,0.659085891,0.0003141946,0.043992825,0.000224612,0.0003948102,0.007750133,0.030341575,0.290826702,0.033252793,0.026918927,0.350442734,0.782945413,0.322412429,2.900089056,0.002731725,0.020277712,0.0003854236,0.0003555598,0.375468386,0.065362244,0.097983125,0.688389853,0.150515358,0.03399535,0.013115232,1.795918814,1.786420475,0.0199422214,0.077250535,0.005087254,0.021108786,0.025264156,0.023289741,0.156775459,0.022306221,0.0005178672,0.019874469,0.017277978,0.053980465,2.467431473,0.093473689,0.403289693,0.0007894876,0.021453018,0.032920855,1.48164009,0.009665537,0.009454081,0.02054818,0.008824628,0.006587122,0.874250441,0.042537216,0.008620548,0.011974349,0.011475213,0.000355152,0.0004339294,0.009252459,0.05370508,0.005161018,0.004214381,0.042746214,0.385642895,0.003410354,0.0038118486,0.833719604,0.007991096,0.47683236,0.010995747,0.01054087,0.007673911,0.013252925,0.056301571,0.01142112,0.0016786094,0.003016946,0.0007900274,0.014779839
DMSO-1,DMSO,0.276344223,0.085654854,1.567321298,0.04362623,0.063809324,30.38763756,0.326870261,33.42054041,0.209323479,0.039831336,0.038256884,0.064946172,0.021757546,0.046872381,0.01455211,7.567578842,0.169980686,0.263165128,0.166463636,0.059451795,0.053929634,0.021011997,4.035090585,4.742605611,2.290374782,0.00514244,1.843704883,60.08488689,0.015927441,0.155326699,0.337761768,0.020122894,0.017237941,22.07533335,0.084999604,0.232882384,2.364188826,0.00766388,0.006677532,0.191712763,0.003436011,0.01467714,0.038437483,0.005934297,0.064286291,0.089609509,0.011053584,0.80345476,0.820095336,0.127245873,0.022192836,0.023042577,14.0122789,0.219881573,0.021340779,0.117363868,0.101591557,0.403245106,0.375965399,0.484496124,0.010632186,0.03779381,0.061440699,0.723190091,0.00423713,0.024589246,3.423096213,0.008082962,0.009516177,1.517383365,0.000691906,0.041095529,0.0003107922,0.003991701,0.373650027,0.0003141946,0.050965958,0.000224612,0.002229703,0.008407114,0.027522821,0.147736911,0.065228647,0.023123616,0.40389341,0.873638302,0.367352217,1.786202631,0.000546345,0.010798893,0.0003854236,0.003070183,0.476327493,0.082496688,0.129105117,1.278085086,0.110012563,0.00850436,0.009805598,1.197875986,1.182286589,0.117336083,0.056809956,0.00327162,0.026492481,0.026668449,0.407616528,0.231583461,0.466869201,0.006714577,0.429962178,0.017937183,0.034621751,2.682469059,0.139366843,0.350683857,0.0007894876,0.05642792,0.034746781,0.871077501,0.017406963,0.009752345,0.006714577,0.003996331,0.004667789,0.810356883,0.06415663,0.007689349,0.004903957,0.020215509,0.004431621,0.0004339294,0.028273002,0.063232797,0.002229703,0.005054456,0.04810879,0.443676124,0.012153385,0.082992177,0.89066786,0.00844416,0.303616984,0.001095969,0.0053925,0.050018971,0.010882246,0.090845917,0.023994195,0.0016786094,0.003498526,0.0007900274,0.0015164898
DMSO-2,DMSO,0.226872724,0.038207454,0.674915754,0.049925857,0.096129338,37.55604628,0.341576008,35.30778705,0.156815187,0.050317819,0.007113295,0.070957785,0.021628722,0.117221957,0.022688284,8.240717493,0.153970301,0.18023682,0.159869963,0.068054736,0.042572142,0.022845069,3.814661179,4.475860789,2.244235927,0.0005576556,1.729210365,65.16797604,0.023204157,0.346476799,0.254122941,0.01416374,0.048294789,23.11328712,0.09116027,0.329227937,3.516926765,0.020258119,0.000669903,0.37968484,0.006033688,0.025383972,0.042223169,0.003085121,0.058546494,0.076235365,0.003080064,1.158887802,1.259738387,0.924658835,0.025968122,0.029652565,26.44788323,0.169775225,0.009586634,0.617737334,0.085852345,0.340658058,0.363007484,0.434971727,0.056556338,0.069162346,0.074080838,1.640963259,0.001911764,0.041358324,4.912954169,0.007899933,0.009796524,1.459269857,0.000691906,0.030234187,0.0003107922,0.002404877,0.758932199,0.0003141946,0.114857541,0.000224612,0.0003948102,0.010585506,0.026337325,0.178722076,0.120188225,0.045965775,0.32719985,0.747987606,0.290307365,4.108756668,0.008519486,0.011253106,0.0003854236,0.0003555598,0.595370206,0.042170065,0.072401723,1.336621122,0.174976941,0.016027457,0.009963424,1.41942122,1.349002067,0.110376529,0.053918813,0.00298397,0.018596705,0.018819239,0.01666724,0.270077063,0.019830754,0.0005178672,0.019373043,0.01631321,0.038204926,2.9308979,0.109772148,0.838548554,0.003947438,0.020915604,0.030962477,1.89637841,0.025131093,0.012292437,0.106315295,0.010954709,0.0009335578,0.895441221,0.019853513,0.011854957,0.012497269,0.028216214,0.000355152,0.004278709,0.012009213,0.078822315,0.005669542,0.004723776,0.056639788,0.59671805,0.01299544,0.026982166,0.810997411,0.006455995,0.759066225,0.008582706,0.010747348,0.0006296558,0.017539672,0.0009806016,0.002284224,0.008393047,0.0006033892,0.004010657,0.008688915
DMSO-3,DMSO,0.233857989,0.048892939,1.144675675,0.047470203,0.070356863,28.53962932,0.569396651,37.66740307,0.169768724,0.052768829,0.03979405,0.09442047,0.006695364,0.034242546,0.007513083,5.308291792,0.184270226,0.274776992,0.177206179,0.057074849,0.07483068,0.025273641,2.583108389,6.29133575,1.821172158,0.0005576556,0.940952734,59.76354195,0.021648266,0.356737892,0.260705619,0.014884364,0.01423208,18.89873023,0.052738105,0.35408149,2.004272526,0.010873763,0.007449272,0.068057326,0.004235119,0.007354738,0.032070629,0.003656099,0.038446942,0.106265569,0.003856984,0.441773509,0.461528733,0.0495854,0.029997973,0.006279415,20.63654948,0.099974337,0.012521016,0.254430931,0.080665786,0.327451287,0.374484271,0.484966052,0.016718322,0.043497416,0.064275969,0.910252847,0.0003823528,0.008522232,2.089308142,0.009321044,0.003372497,0.95174378,0.000691906,0.032933251,0.0003107922,0.001526723,0.568160621,0.0003141946,0.050849791,0.003266147,0.0003948102,0.005093014,0.022621965,0.321590184,0.025876295,0.030862959,0.391897417,0.841165102,0.333066601,2.761753847,0.005161552,0.017382423,0.0003854236,0.002502785,0.385102792,0.070392313,0.12765623,0.531722525,0.151901815,0.033488638,0.006340862,1.668289554,1.643011186,0.0199422214,0.074861404,0.009103616,0.019457442,0.023763462,0.026091359,0.148820009,0.026618386,0.004830683,0.022189472,0.015737533,0.04039434,2.288112957,0.106688608,0.306171704,0.0007894876,0.05724501,0.072609134,1.059502985,0.010056045,0.010247476,0.008515142,0.008370978,0.006059624,0.784423485,0.05833215,0.010937573,0.014024106,0.016205476,0.000355152,0.0004339294,0.011065194,0.0523387,0.006312502,0.005530234,0.048030317,0.302950461,0.004270569,0.0038118486,0.794588244,0.003400857,0.791045585,0.007279111,0.010394003,0.004074412,0.01140788,0.054201018,0.012376852,0.0016786094,0.0006033892,0.0007900274,0.013430905
NaN3-1,NaN3,0.20868385,0.029255909,0.621076556,0.033197432,0.045570797,28.30715755,0.148797214,29.15272365,0.11597319,0.032392154,0.040576944,0.070847465,0.022792942,0.15414373,0.02056947,7.826305379,0.157483653,0.142675595,0.116448436,0.052376997,0.031273818,0.014855205,4.996782076,3.891245176,2.706745799,0.00447146,1.941383093,48.96006758,0.014842004,0.082947375,0.289341747,0.015072083,0.009834949,20.97330872,0.085052035,0.164946144,2.495648002,0.005299368,0.004382823,0.264949565,0.005348402,0.009569038,0.027856574,0.00330409,0.0651464,0.073553726,0.00491276,0.527294707,0.574093222,0.089042592,0.030355386,0.023684971,12.74740267,0.27965767,0.01981134,0.1026003,0.243095799,0.239146732,0.28749734,0.338524035,0.01024796,0.037355833,0.032769333,0.871391565,0.003720873,0.023002277,3.101101793,0.004788291,0.007304076,1.829147749,0.000691906,0.030732565,0.0003107922,0.002570477,0.326082778,0.0003141946,0.044703285,0.000224612,0.0003948102,0.030089475,0.021225762,0.14695658,0.105991141,0.016226251,0.307870678,0.670223012,0.277373849,2.049667484,0.000546345,0.01236205,0.0003854236,0.0003555598,0.505810576,0.060212896,0.099582866,1.279182684,0.128444622,0.00389249,0.00595566,1.447745977,1.400351518,0.099711107,0.05794982,0.0003513788,0.014291322,0.014653414,0.289964093,0.217275993,0.31592534,0.002589336,0.29615549,0.023811326,0.034819303,3.31595441,0.133764735,0.938823672,0.0007894876,0.05628646,0.039056911,1.011483483,0.017129596,0.007419116,0.026221502,0.003181507,0.00531257,0.72010874,0.052571244,0.005733125,0.006743965,0.01115319,0.001838749,0.0004339294,0.009804775,0.039341682,0.003573773,0.003790651,0.055533987,0.684044746,0.008275313,0.10092751,0.75856405,0.003353124,0.311359586,0.007788752,0.006270605,0.026034798,0.012641163,0.069351949,0.012286614,0.0016786094,0.0006033892,0.0007900274,0.011117358
