"",Label,Glyoxylic acid-meto-TMS,Pyruvic acid-meto-TMS,Lactic acid-2TMS,Caproic acid-TMS,Glycolic acid-2TMS,Alanine-2TMS,Hydroxylamine-3TMS,Glycine-2TMS,Oxalic acid-2TMS,3-Hydroxypropionic acid-2TMS,2-Aminoisobutyric acid-2TMS,3-Hydroxybutyric acid-2TMS,2-Aminobutyric acid-2TMS,3-Aminopropanoic acid-2TMS,Valine-2TMS,Urea-2TMS,Serine-2TMS,Benzoic acid-TMS,2-Aminoethanol-3TMS,Glycerol-3TMS,Octanoic acid-TMS,Leucine-2TMS,Phosphoric acid-3TMS,Isoleucine-2TMS,Proline-2TMS,Glycine-3TMS,Maleic acid-2TMS,Nicotinic acid-TMS,Succinic acid-2TMS,Glyceric acid-3TMS,Uracil-2TMS,Serine-3TMS,Fumaric acid-2TMS,Nonanoic acid-TMS,Threonine-3TMS,Glutaric acid-2TMS,3-Aminopropanoic acid-3TMS,Decanoic acid-TMS,Citramalic acid-3TMS,Malic acid-3TMS,Niacinamide-TMS,Adipic acid-2TMS,Aspartic acid-3TMS,3-Aminoglutaric acid-2TMS,4-Hydroxyproline-3TMS,Methionine-2TMS,5-Oxoproline-2TMS,Cytosine-2TMS,Threonic acid-4TMS,Cysteine-3TMS,Creatinine-3TMS,2-Hydroxyglutaric acid-3TMS,3-Hydroxyglutaric acid-3TMS,2-Isopropylmalic acid-3TMS,2-Ketoglutaric acid-meto-2TMS,Hypotaurine-3TMS,Ornithine-3TMS,Glutamic acid-3TMS,Triethanolamine-3TMS,5-Aminovaleric acid-3TMS,Phenylalanine-2TMS,Lauric acid-TMS,Asparagine-3TMS,Ribonolactone-3TMS,"1,6-Anhydroglucose-3TMS",2-Aminoadipic acid-3TMS,Glutamine-4TMS,Putrescine-4TMS,Glycerol 3-phosphate-4TMS,Dihydroxyacetone phosphate-meto-3TMS(2),Glutamine-3TMS,2-Deoxy-glucose-meto-4TMS,2-Deoxy-glucose-4TMS(2),Glycyl-Glycine-4TMS,2-Aminopimelic acid-3TMS,Citric acid-4TMS,Ornithine-4TMS,Arginine-3TMS,Glycyl-Glycine-3TMS,Cadaverine-4TMS,Psicose-meto-5TMS(2),Tagatose-meto-5TMS(2),Methionine sulfone-2TMS,Sorbose-meto-5TMS(1),Fructose-meto-5TMS(1),Sorbose-meto-5TMS(2),Myristic acid-TMS,Fructose-meto-5TMS(2),Mannose-meto-5TMS(1),Galactose-meto-5TMS(1),Glucose-meto-5TMS(1),Mannose-meto-5TMS(2),Allose-meto-5TMS(2),Galactose-meto-5TMS(2),Adenine-2TMS,Glucose-meto-5TMS(2),Mannitol-6TMS,Sorbitol-6TMS,Lysine-4TMS,Tyramine-3TMS,Ureidosuccinic acid-3TMS,Tyrosine-3TMS,1-Hexadecanol-TMS,Palmitoleic acid-TMS,Palmitic acid-TMS,Inositol-6TMS(2),Margaric acid-TMS,Octadecanol-TMS,Cystathionine-4TMS,Linoleic acid-TMS,Oleic acid-TMS,Elaidic acid-TMS,Spermidine-5TMS,Stearic acid-TMS,Oleamide-TMS,Sucrose-8TMS,Docosapentaenoic acid-TMS
2DG-Mic-1,2DG-Mic,1.206480715,0.415246161,3.676621075,0.22292662,0.679395414,3.295924915,2.170729008,1.447354873,0.777770604,0.185791964,0.0058571966,0.381658814,0.0011658608,0.000829904,0.820193256,0.357117764,0.010210022,0.72663133,0.204596659,0.202921907,0.108463262,0.481445015,2.537526047,0.270109788,0.130142728,70.66231875,0.0028339132,0.00354466,0.173356602,0.08429145,0.0013256672,0.69270112,0.02506853,0.861824687,0.043701794,0.024330057,0.016470591,0.143474808,0.001163284,0.009178168,0.0057312406,0.033521412,0.259665666,0.27018891,0.067609866,0.0018065814,1.72300321,0.0014524618,0.0005602486,0.0032566008,0.0017878346,0.0019960436,1.166537223,1.445086705,0.018620076,0.0013973984,0.0029589568,0.362379386,0.032980744,0.018699198,0.198754807,0.130551526,0.0048070464,0.0023499026,0.047051297,0.004170085,0.0032836026,0.05492395,0.0029416376,0.0022097754,0.0110018326,0.123641526,0.016259599,0.0005185584,0.0011256372,0.02852353,0.22624975,0.00138359,0.127821812,0.105034637,0.083289236,0.050559045,0.0014654498,0.050123874,0.055596488,0.039587442,0.192108548,0.053657996,0.066673587,0.066475782,0.068295591,0.064853778,0.068295591,0.001334843,0.0042631602,0.04788208,0.02223332,0.313877516,0.035855515,0.004259189,0.0010768288,0.094735572,0.092150915,0.0032866778,3.402225505,0.0034108972,0.044163339,0.291446391,0.001245764,0.019200305,0.156978319,0.019727786,0.0015635608,3.285863216,0.659245643,321.1310778,0.965158198
2DG-Mic-2,2DG-Mic,1.600856831,0.201088034,6.733798259,0.36662064,0.366389214,8.895799686,2.775995273,2.413371988,1.071501734,0.390268155,0.0058571966,0.650622248,0.0011658608,0.000829904,1.014802398,0.577975567,0.010210022,1.42770821,0.364453653,0.30491409,0.201445692,0.521697005,2.162422201,0.338050066,0.178324145,118.9012632,0.0028339132,0.00354466,0.515616817,0.049987986,0.0013256672,1.215806277,0.026340471,1.560525615,0.12160377,0.037280602,0.034461414,0.243733508,0.001163284,0.0018356336,0.0057312406,0.065872215,0.358268271,0.332853503,0.088572988,0.0018065814,2.206414153,0.0014524618,0.0005602486,0.0032566008,0.0017878346,0.0019960436,0.963383779,1.287001287,0.000878351,0.0013973984,0.0029589568,0.842032474,0.065514557,0.0009144022,0.206305635,0.236601384,0.0048070464,0.0023499026,0.052470554,0.004170085,0.0032836026,0.06219044,0.0029416376,0.0022097754,0.0110018326,0.153666771,0.06105435,0.0005185584,0.0011256372,0.030379904,0.347370216,0.00138359,0.295341475,0.221727013,0.102816198,0.07249941,0.0014654498,0.102037766,0.10409956,0.066818958,0.42260466,0.051544851,0.083439542,0.095515764,0.093432931,0.065493518,0.093432931,0.001334843,0.0042631602,0.940241193,0.874789752,0.527819271,0.054574426,0.004259189,0.0010768288,0.125495932,0.114787227,0.098566378,6.241071564,0.0034108972,0.067660506,0.53995861,0.001245764,0.049861754,0.602738134,0.090466473,0.0015635608,6.459579654,1.997415562,518.3793895,1.613984989
2DG-Mic-3,2DG-Mic,1.057993888,0.161816019,1.687357825,0.285185524,0.296211522,3.622899449,2.336568559,2.559400166,0.912420304,0.299694216,0.099066687,0.39870007,0.0011658608,0.000829904,0.753372191,0.468992705,0.010210022,1.128651521,0.197357751,0.283679906,0.144128798,0.441845939,1.794043857,0.259985417,0.157831451,109.4689776,0.0028339132,0.00354466,0.321609337,0.028941342,0.0013256672,0.55460007,0.017687221,1.318648469,0.087645274,0.041275251,0.022188869,0.157846659,0.001163284,0.0018356336,0.0057312406,0.083812789,0.279345548,0.275117648,0.0022347124,0.0018065814,2.769958698,0.0014524618,0.0005602486,0.0032566008,0.0017878346,0.0019960436,0.997541005,1.165501166,0.000878351,0.0013973984,0.0029589568,0.583206831,0.033062784,0.0009144022,0.171184314,0.157801035,0.0048070464,0.0023499026,0.109971018,0.004170085,0.0032836026,0.046157107,0.0029416376,0.0022097754,0.0110018326,0.069684304,0.042294206,0.02658406,0.0011256372,0.01998367,0.336026779,0.00138359,0.238602586,0.237614048,0.026812184,0.019071174,0.0014654498,0.000730025,0.0008794932,0.021854287,0.317259771,0.0009777224,0.000958876,0.029732173,0.039845674,0.0015419686,0.039845674,0.001334843,0.0042631602,0.0009428852,0.007999551,0.213767477,0.161405395,0.004259189,0.0010768288,0.118426817,0.070885758,0.067585563,4.471810007,0.0034108972,0.038720262,0.358900021,0.001245764,0.032880285,0.415961459,0.071235548,0.0015635608,4.682368539,3.312087985,375.0643918,1.282665696
2DG-NM-1,2DG-NM,1.141150106,0.171859642,1.626427702,0.231810376,0.227585922,14.87224131,1.305434415,15.64883671,0.771666871,0.16261539,0.0058571966,0.404048132,0.0011658608,0.000829904,4.449849137,0.53773123,0.165353461,0.705914032,0.167935072,0.341776556,0.120292622,2.54746291,4.085033663,1.481909664,0.774952557,197.4894932,0.0028339132,0.00354466,0.316364642,0.036181663,0.0013256672,4.132910805,0.070133754,0.945430124,0.373173113,0.015202818,0.041110193,0.137516398,0.001163284,0.027537179,0.033495745,0.041331846,0.961715132,1.038589758,0.336691565,0.012034478,8.851716826,0.0014524618,0.0005602486,0.043352804,0.019753232,0.0019960436,1.079908566,1.424501425,0.028254294,0.0013973984,0.015033318,2.583931419,0.026468028,0.0009144022,1.03023212,0.135026056,0.119340816,0.0023499026,0.036898777,0.035503665,0.0032836026,0.044878301,0.026233336,0.0022097754,0.103329615,0.0139368608,0.0014226088,0.126707533,0.071033406,0.09536313,1.663417749,0.023834263,0.806023153,0.811199413,0.364763321,0.372625498,0.0014654498,0.2851767,0.37803645,0.281799745,0.186006346,0.289479384,0.295085912,0.390331696,0.369365889,0.327095276,0.369365889,0.039858503,0.052675287,0.046729759,0.067200106,0.337278295,0.480753259,0.073315133,0.0010768288,1.06702659,0.058842467,0.0032866778,3.489646464,0.0034108972,0.032570016,0.28149986,0.001245764,0.024786069,0.182459891,0.0017969146,0.0015635608,3.548475893,1.340794657,360.3333683,1.368449183
2DG-NM-2,2DG-NM,0.658440891,0.047424484,3.050004059,0.150291781,0.164849239,24.21723444,1.004708174,23.50708481,0.355791866,0.16925977,0.084693022,0.257488433,0.0011658608,0.009632817,4.018390742,0.357352238,0.108197815,0.730091728,0.144068332,0.292420922,0.076602538,2.061512929,2.028979625,1.323727575,0.718204039,154.0606831,0.0028339132,0.0177233,0.773430383,0.032506246,0.0013256672,4.774666053,0.041318289,0.704909309,0.679591597,0.015684895,0.08099503,0.106493132,0.001163284,0.017930748,0.051988347,0.013709627,0.629470285,0.676434776,0.362520407,0.015324115,6.285295524,0.0014524618,0.013592373,0.128094813,0.031414888,0.0019960436,0.532745263,0.687285223,0.039505371,0.0013973984,0.0029589568,2.771283744,0.020429147,0.0009144022,0.873014585,0.082916182,0.068539113,0.016451552,0.043501006,0.070974376,0.0032836026,0.035672087,0.028456494,0.011048877,0.166021773,0.0139368608,0.023793418,0.147766323,0.05902355,0.103300232,1.278494827,0.00691795,1.060592941,1.055533007,0.12691326,0.113420101,0.011986904,0.083673819,0.106439015,0.085549873,0.184547808,0.101667704,0.0794076,0.071353194,0.0896808,0.086857699,0.0896808,0.001334843,0.068097158,0.036014828,0.035762282,0.247711304,0.510178496,0.034643865,0.0010768288,1.118741601,0.034039559,0.021592662,2.421065923,0.037494025,0.026860045,0.201621705,0.001245764,0.016974682,0.189481469,0.018048002,0.0015635608,2.441955065,0.443037404,284.9771536,1.270539636
2DG-NM-3,2DG-NM,0.596120277,0.049186813,0.947628592,0.134929476,0.171156666,26.23571598,0.785412946,40.14228098,0.373662923,0.163515343,0.0058571966,0.261664884,0.007424707,0.017994083,6.692020969,0.382200588,0.091718281,0.645688036,0.124158423,0.32664974,0.082291742,3.909429187,1.7024389,2.247624495,1.357152698,143.6077852,0.0028339132,0.079005152,0.766417948,0.031147914,0.0013256672,6.92488337,0.106141932,0.698437813,1.168091584,0.017553381,0.097656553,0.094003956,0.001163284,0.051965476,0.030288919,0.028600806,1.669065068,1.67295669,0.0022347124,0.035838775,15.6272146,0.053377216,0.030677334,0.069645839,0.047588335,0.033030234,0.604187363,0.74019245,0.036525971,0.010942852,0.0029589568,4.744424832,0.033134807,0.018143473,1.399422733,0.12294836,0.20292455,0.027853854,0.047087877,0.073537461,0.016418013,0.034539078,0.07511353,0.034591364,0.703823339,0.0139368608,0.047229798,0.301514793,0.100509911,0.149054345,2.131652671,0.087109585,1.435709679,1.375774221,0.006535833,0.0004665884,0.0014654498,0.000730025,0.0008794932,0.0015174114,0.175518868,0.0009777224,0.000958876,0.0010256948,0.015088438,0.013250935,0.015088438,0.001334843,0.045056167,0.021146222,0.011376085,0.066277084,1.394672116,0.153192461,0.0010768288,1.938162129,0.029138612,0.020399269,2.343137295,0.063057719,0.022191955,0.177692499,0.007850469,0.017508564,0.166376171,0.024955679,0.012093159,2.416428261,1.40793799,221.2583466,1.02372063
Cer-Mic-1,Cer-Mic,1.440353581,0.347010166,3.479293641,0.304806695,0.381181476,2.097623311,3.401534004,0.591748754,0.905678185,0.272678047,0.0058571966,0.494479966,0.0011658608,0.000829904,0.561939739,0.263243719,0.010210022,0.999034756,0.246573521,0.262810952,0.144215389,0.321840418,2.422804692,0.207416732,0.079646502,31.81662228,0.0028339132,0.00354466,0.15197058,0.06938126,0.0013256672,0.298921059,0.025654448,1.277356089,0.0016721794,0.001968371,0.0032941182,0.164780493,0.001163284,0.0018356336,0.0057312406,0.002371283,0.183753014,0.189742514,0.019682259,0.0018065814,1.575653963,0.0014524618,0.0005602486,0.0032566008,0.0017878346,0.0019960436,1.161374441,1.388888889,0.000878351,0.0013973984,0.0029589568,0.231288179,0.035850447,0.013398477,0.147867946,0.110996168,0.0048070464,0.0023499026,0.044748143,0.004170085,0.0032836026,0.0015231224,0.0029416376,0.0022097754,0.0110018326,0.0139368608,0.028579955,0.0005185584,0.0011256372,0.0014540194,0.150585725,0.00138359,0.065676772,0.08634574,0.087055479,0.084008797,0.0014654498,0.069190843,0.0903272,0.069537057,0.267882985,0.064049567,0.03467332,0.036854467,0.075838149,0.084960885,0.075838149,0.001334843,0.0042631602,0.079992716,0.08258932,0.465692282,0.001451735,0.004259189,0.0010768288,0.072670292,0.071822068,0.0032866778,4.291494079,0.0034108972,0.044315376,0.36880433,0.001245764,0.030345646,0.205200963,0.019889987,0.0015635608,4.659640602,3.262719552,429.6405988,1.468500769
Cer-Mic-2,Cer-Mic,1.280528438,0.060749681,6.471150499,0.328166427,0.385391248,14.71445878,4.284654296,5.406209582,0.903978878,0.36093384,0.148693951,0.634277865,0.0011658608,0.000829904,1.975949822,0.694102023,0.010210022,1.382788759,0.276652273,0.502834066,0.164920122,1.041389338,2.470178504,0.62496357,0.20308313,152.2664849,0.0028339132,0.00354466,0.364793463,0.045842871,0.0013256672,1.305103997,0.023925725,1.533845744,0.16127711,0.033988314,0.031841891,0.189397221,0.001163284,0.0018356336,0.0057312406,0.028750254,0.0064716996,0.045882255,0.033121868,0.0018065814,3.296393852,0.0014524618,0.0005602486,0.0032566008,0.0017878346,0.0019960436,0.864910039,1.086956522,0.000878351,0.0013973984,0.0029589568,0.053010742,0.030896677,0.006931568,0.006060508,0.225531958,0.0048070464,0.0023499026,0.077645378,0.004170085,0.0032836026,0.06628312,0.0029416376,0.0022097754,0.0110018326,0.0139368608,0.043105689,0.0005185584,0.0011256372,0.02286236,0.0070833472,0.00138359,0.275451064,0.248197398,0.146685371,0.122405191,0.0014654498,0.106356248,0.126146663,0.119628625,0.292484605,0.094816762,0.05661437,0.11947109,0.116458221,0.120947986,0.116458221,0.001334843,0.0042631602,0.036981491,0.04180602,0.63805872,0.001451735,0.004259189,0.0010768288,0.0030862218,0.088318417,0.0032866778,5.234377585,0.0034108972,0.061793354,0.503129445,0.001245764,0.02941978,0.294375032,0.0017969146,0.0015635608,5.434979528,1.416166622,499.9979323,1.734191693
Cer-Mic-3,Cer-Mic,1.120602042,0.137023746,3.492770759,0.329527883,0.323609272,3.836506821,3.286198944,2.037688169,0.934174579,0.343630686,0.0058571966,0.597586513,0.0011658608,0.000829904,0.779043748,0.625124739,0.010210022,1.215528131,0.241907854,0.358892623,0.176697758,0.402500668,1.954406113,0.228630495,0.123605886,104.5992419,0.0028339132,0.00354466,0.314371322,0.041149274,0.0013256672,0.61151369,0.028188043,1.484008265,0.081613605,0.032139638,0.028504171,0.21112054,0.001163284,0.0018356336,0.0057312406,0.059712988,0.342348613,0.339766904,0.0022347124,0.0018065814,2.935121698,0.0014524618,0.0005602486,0.0032566008,0.0017878346,0.015472689,0.975762919,1.206272618,0.000878351,0.0013973984,0.0029589568,0.594565739,0.034738909,0.015384876,0.21305243,0.201812338,0.0048070464,0.0023499026,0.087725405,0.004170085,0.0032836026,0.047208386,0.0029416376,0.0022097754,0.0110018326,0.0139368608,0.035090162,0.021040047,0.0011256372,0.022690936,0.42663174,0.00138359,0.218005096,0.174871243,0.066386793,0.063506519,0.0014654498,0.050703352,0.081121851,0.039586199,0.358383307,0.053004059,0.067071736,0.061574629,0.058852419,0.04304604,0.058852419,0.001334843,0.0042631602,0.043397293,0.033456836,0.164878099,0.201232771,0.004259189,0.0010768288,0.204920926,0.063524082,0.090974494,5.669572629,0.0034108972,0.058079663,0.463249852,0.001245764,0.039340322,0.58706649,0.079031897,0.0015635608,5.659403858,2.530074447,414.5775843,1.336675247
Cer-NM-1,Cer-NM,2.352411498,0.303895803,8.171176974,0.455829834,0.530590143,9.43749733,4.571585978,4.811984064,1.872086914,0.5007415,0.0058571966,0.806495908,0.0011658608,0.000829904,2.499685147,0.53255971,0.010210022,1.510102767,0.33255161,0.412194225,0.22960708,1.323410047,5.273417453,0.777285294,0.405481054,221.287797,0.0028339132,0.00354466,0.312855944,0.055508489,0.0013256672,1.782457764,0.036506333,2.072760783,0.216402662,0.038947486,0.0032941182,0.274685188,0.001163284,0.0018356336,0.0057312406,0.031207921,0.733760646,0.777257553,0.216458142,0.0018065814,7.038537483,0.0014524618,0.0005602486,0.0032566008,0.0017878346,0.0019960436,1.418864675,1.727115717,0.035979266,0.0013973984,0.0029589568,1.94515506,0.06446863,0.0009144022,0.898427509,0.307474311,0.030930518,0.0023499026,0.056423922,0.004170085,0.0032836026,0.0015231224,0.0029416376,0.0022097754,0.055009163,0.0139368608,0.033177488,0.072430118,0.0011256372,0.053899548,1.095217726,0.00138359,0.651316253,0.601244877,0.573726426,0.560355565,0.0014654498,0.486510688,0.581826615,0.46662084,0.466398917,0.484485641,0.341983337,0.413830907,0.538856775,0.495609531,0.538856775,0.06593887,0.0042631602,0.065772428,0.620829581,0.647432601,0.260121492,0.004259189,0.0010768288,0.522906059,0.112209815,0.0032866778,7.674513309,0.0034108972,0.096397801,0.568511235,0.001245764,0.052151904,0.393941058,0.052068683,0.0015635608,7.856517906,2.595555881,711.2821213,2.322618336
