"","Protein.ID","Egg.1","Egg.2","Egg.3","2cell.1","2cell.2","2cell.3","16cell.1","16cell.2","16cell.3","Morula.1","Morula.2","Morula.3","Blastula.1","Blastula.2","Blastula.3","Gastrula.1","Gastrula.2","Gastrula.3","Prism.1","Prism.2","Prism.3","Pluteus.1","Pluteus.2","Pluteus.3"
"11","AAG02420.1",1.732,2.09,2.48,1.36,0.637,1.301,0.881,3.128,0.989,1.307,3.884,0.93,0.584,0.872,1.222,0.975,1.462,0.878,0.466,0.352,0.956,0.438,0.77,0.355
"18","AAK18276.1",0.876,0.575,0.522,0.965,1.121,1.013,0.757,1.297,1.031,1.207,1.79,0.924,1.435,1.383,0.899,0.835,0.96,1.216,0.892,0.849,1.553,0.92,0.971,1.474
"26","ABK35135.1",2.974,2.463,3.343,1.888,2.001,2.253,2.305,1.841,2.299,2.544,1.434,0.957,0.356,0.468,0.23,0.472,0.569,0.399,0.336,0.366,0.812,0.394,0.405,0.388
"35","ABY58956.1",0.463,0.798,0.645,0.6,0.976,0.756,1.233,0.976,0.398,0.693,0.818,0.613,0.935,1.113,0.777,1,1.252,0.903,1.155,1.873,1.002,1.542,1.721,1.1
"41","CAA40332.1",1.175,0.808,0.769,3.641,0.391,1.06,0.998,0.892,2.446,0.807,0.625,2.338,1.91,0.912,2.26,0.865,0.703,1.549,1.838,0.537,2.644,1.282,0.819,3.18
"44","CAM82435.1",0.741,0.502,0.769,1.469,0.813,0.349,1.256,0.549,0.935,0.942,0.591,0.773,0.961,0.587,1.199,1.22,1.346,1.463,0.987,1.445,1.545,0.804,1.407,1.19
"52","NP_001001474.1",0.759,0.878,1.009,0.933,1.081,0.914,0.821,1.012,0.975,0.997,1.096,0.992,1.009,1.135,0.94,0.968,0.988,0.954,1.2,0.783,0.994,1.108,1.254,1.258
"53","NP_001001475.1",1.136,0.839,0.798,1.086,1.031,0.645,0.958,0.986,0.676,0.888,0.807,0.707,1.087,1.005,0.896,1.15,1.262,0.89,1.37,1.675,0.974,1.664,1.862,1.02
"58","NP_001020382.1",1.382,1.334,1.163,1.107,1.093,1.105,0.984,1.155,1.143,0.995,1.172,1.011,0.861,1.155,0.933,0.9,0.844,0.735,0.7,0.679,0.769,0.654,0.622,0.691
"59","NP_001027543.1",1.12,0.895,0.942,0.934,0.898,0.897,1.199,0.931,1.308,0.91,0.626,1.065,0.969,0.968,1.396,1.061,1,1.371,0.884,0.515,1.264,0.695,0.418,1.179
