"","Avg.Egg","Avg.2cell","Avg.16cell","Avg.Morula","Avg.Blastula","Avg.Gastrula","Avg.Prism","Avg.Pluteus"
"C00009",0,-0.200095656745973,-0.408828149526996,-0.526833696791724,-0.728554346441745,-0.660839527774792,-0.190469215454146,0.271445653558255
"C00020",0,-0.406602028163069,0.00727032058559967,0.303938621326491,-0.56296357003654,-0.696061378673509,-0.627610108358773,-0.667072926099785
"C00022",0,0.137228032241866,0.0205930616247837,-0.284606264735013,-0.246887515349614,-0.341348590692673,-0.0686466612042369,0.658651409307327
"C00025",0,0.482788678801733,0.825403953801191,0.502916467889602,0.31539745083961,1,0.399093064820672,0.296371887465356
"C00026",0,0.0789246318408638,0.342450713529523,0.411500986925799,1,0.349289865335567,0.454471671363594,0.441110881622168
"C00037",0,0.299686055492319,0,0.299686055492319,0.299686055492319,-0.532354152437948,-0.700313944507681,0.299686055492319
"C00041",0,-0.360182174259234,0,-0.360182174259234,-1,-1,-0.360182174259234,-0.360182174259234
"C00042",0,0.353176654360069,0.735826810411743,0.940195206646613,0.581527753322266,-0.059804793353387,0.0798559346573142,0.722695059378874
"C00047",0,0.129402389548668,0.0127733996625906,-0.146313983515169,-0.655985472161917,-0.545713928912441,-0.870597610451332,-0.842859287954575
"C00048",0,0.0862576395926368,0.0441703139627153,-0.14076073871336,0.0933663063439372,0.339157839476698,0.85923926128664,0.824858085984833
"C00049",0,0.337239803673945,0.197404824411451,0.492324698110497,0.363995877650577,0.340293578160016,1,0.800375379654577
"C00062",0,0.0950650040007197,0.0976365378625958,0.114066729189011,-0.754573306362197,-0.860039767123616,-0.877601054684357,-0.885933270810989
"C00064",0,-0.0466140628513756,-0.33193420074631,-0.849828507478131,-0.986098209112691,-0.979917072936761,-1,-0.998565679988871
"C00073",0,-0.646486339754973,-0.404826307697354,0.353513660245027,0.0427375601509043,0.102178454693137,-0.169135521382816,-0.261455586358851
"C00077",0,-0.111025631704993,-0.237056954842482,-0.0623627812381091,-0.857695367103565,-0.928449355222848,-1,-0.999587592434301
"C00078",0,-0.608159962366532,-0.3466736856028,0.136891781986037,-0.472978388388578,-0.844256045155356,-0.861363076561518,-0.863108218013963
"C00079",0,-0.146988704956357,0.0080294364964306,0.612267965223006,0.689660906401785,-0.250372309975868,-0.229286079276474,-0.310339093598215
"C00082",0,-0.39087301042075,-0.34411420216145,-0.0914424741356548,0.60912698957925,-0.160045757296695,-0.0268847964188173,0.108247117618215
"C00085",0,0.016131466619252,0.706029629277765,1,0.0333382578187466,0.308002993331753,0.308002993331753,0.253291960392611
"C00086",0,-0.10185428548636,0.180558568801237,0.0124238166902961,-0.143244907323161,0.547955515090397,0.59167435892964,0.856755092676839
"C00089",0,-0.177988381368805,-0.287827535634317,-0.214658998158788,-0.198225300422485,0.655091459760693,0.712172464365683,0.548934175945317
"C00668",0,-0.314183076538659,-0.150715595044418,0.0203964350334425,-0.356385007818136,-0.0211738983145854,0.384166067216988,0.643614992181864
"C00093",0,0.239887937413116,0.416278470965744,1,0.576250315694406,0.226666044298443,0.269065471574335,0.331429677270424
"C00097",0,-0.469185375375062,-0.11807736377972,-0.0152766470504609,0.129939876276307,-0.520718220253039,-0.840259485026037,-0.870060123723693
"C00099",0,-0.646622351626116,-0.366580551261736,-0.121548905077972,0.353377648373884,-0.0360165096050577,-0.0817536264599842,0.0906270871290435
"C00105",0,-0.180795426980592,0.245254446431059,0.611916819396423,-0.388083180603577,-0.302204666127387,-0.252599158685399,-0.273400599181349
"C00106",0,-0.644530380832052,-0.698234938905301,-1,-0.903181821320457,-0.49312743938622,-0.141244164772802,-0.4863203168469
"C00111",0,0.271830972488927,0.561706427258319,1,0.604788137348962,0.299887222540634,0.293495814731209,0.355472907004188
"C00117",0,-0.355167983179561,0.61277435603053,0.644832016820439,-0.0332565879541475,-0.326058315609012,0.0400288963214687,-0.159601650979049
"C00122",0,0.246589779216219,0.312156405085523,1,0.541667360232165,0.422748971379708,0.568059395042595,0.54925628402829
"C00123",0,-0.349079040504128,-0.174539520252064,0.650920959495872,0.461928159771123,-0.178606001228083,-0.157064323476544,-0.0946634409064576
"C00134",0,-0.0459712573399586,-0.466222345622049,-0.334990163707319,-0.0792476784161506,0.122384872769336,0.533777654377951,0.105699839392396
"C00135",0,-0.340453935934082,-0.0283859524813003,0.301533582254623,0.383517110904939,-0.35025514730246,-0.583008409144894,-0.616482889095061
"C00137",0,0.0441959102457496,0.0155328740957791,0.149518105523383,1,0.821038432323126,0.201006832385079,0.22071772402248
"C00147",0,-0.0264007235718201,0.209434898696924,0.458378061660637,-0.0364016441644399,-0.236910274453057,-0.46863142130133,-0.541621938339363
"C00148",0,0.0979866381519466,0.40484601828319,0.70701566799409,1,0.695644681277483,0.459873469415039,0.704699827505202
"C00152",0,-0.253344676043424,-0.302645544878285,-0.596333730448359,-0.963708489952871,-1,-0.987450506917102,-0.987423981628817
"C00153",0,-0.384085645019889,-0.565177081639529,-0.673931025601564,-1,-0.983700273858787,-0.610022280725703,-0.433232031093154
"C00158",0,0.226902125135804,0.515191409305782,1,0.409037762611109,0.282043264488457,0.399175821261833,0.410611346992104
"C00178",0,-0.18874434407008,-0.711972353200826,-0.716174329306405,-0.226974927540253,-0.994846276562311,-0.997423138281156,-1
"C00183",0,0.102217835099503,0.315130520424095,0.472413364312154,0.786979052088271,0.629696208200212,1,0.506383894013456
"C00186",0,-0.0138082957653518,-0.115715572817272,0.0597318214593633,0.254943075174273,0.337841954854722,0.727962036638965,0.884284427182728
"C00188",0,-0.363637265756251,0.286528173063868,-0.422199043860363,-0.492355606699259,-0.713471826936132,-0.133928120459129,0.0353441854796871
"C00189",0,0.210741702113597,0.0314341604798972,-0.112803980466492,0.321583931044299,0.713658565851664,0.795938843208538,0.887196019533508
"C00191",0,0.0837763925225244,-0.111384765645634,-0.154212541474929,0.609719800731631,0.756696775094695,0.845787458525071,0.813849031460663
"C00192",0,0.222229117031872,-0.0348390535954273,-0.15615245480355,0.127973257352021,0.709591652019272,0.84384754519645,0.68032157134013
"C00199",0,0.0529967100470851,0.76232492946082,1,0.321525970006896,0.245324005767835,0.410291633932898,0.346492947298404
"C00209",0,0.262071348677914,0.0228854993071228,-0.426648695941303,-0.32649191879376,-0.323891978236171,0.573351304058697,0.27475752178789
"C00212",0,0.00272170331007141,0.17285851120558,0.486917359595491,0.305760098292703,0.668465936947368,1,0.857723564234658
"C00267",0,-0.14576240320466,-0.15218815591236,-0.142477437844756,-0.219105609285261,0.722151496885874,-0.272068530527709,-0.277848503114126
"C00242",0,0.0507301945438599,-0.0481399165590572,-0.0651470885889253,-0.0289201003550712,0.229852479928202,0.934852911411075,0.464858732507293
"C00249",0,0.118681003393107,-0.0566203106207177,-0.133873817190252,0.0362166874758209,0.574885123418435,0.765954111577705,0.866126182809748
