"","x"
"1","Glyoxylic acid"
"2","Pyruvic acid"
"3","Lactic acid"
"4","Caproic acid"
"5","Glycolic acid"
"6","Alanine"
"7","Hydroxylamine"
"8","Glycine"
"9","Oxalic acid"
"10","Sarcosine"
"11","3-Hydroxypropionic acid"
"12","Pyruvic acid oxime"
"13","2-Hydroxyisovaleric acid"
"14","3-Hydroxybutyric acid"
"15","2-Aminobutyric acid"
"16","3-Aminopropanoic acid"
"17","3-Aminoisobutyric acid"
"18","Valine"
"19","Methylmalonic acid"
"20","Urea"
"21","Acetoacetic acid"
"22","Serine"
"23","Benzoic acid"
"24","2-Aminoethanol"
"25","Glycerol"
"26","Octanoic acid"
"27","Leucine"
"28","Phosphoric acid"
"29","Ethylmalonic acid"
"30","Isoleucine"
"31","Acetylglycine"
"32","Proline"
"33","Glycine"
"34","Maleic acid"
"35","Nicotinic acid"
"36","Succinic acid"
"37","Glyceric acid"
"38","Uracil"
"39","Serine"
"40","Fumaric acid"
"41","Nonanoic acid"
"42","Threonine"
"43","Mesaconic acid"
"44","Thymine"
"45","Glutaric acid"
"46","Hydroquinone"
"47","3-Aminopropanoic acid"
"48","3-Aminoisobutyric acid"
"49","Decanoic acid"
"50","Citramalic acid"
"51","Malic acid"
"52","Niacinamide"
"53","Adipic acid"
"54","Aspartic acid"
"55","3-Aminoglutaric acid"
"56","Methionine"
"57","4-Aminobutyric acid"
"58","5-Oxoproline"
"59","Cytosine"
"60","Threonic acid"
"61","Oxalacetic acid"
"62","Cysteine"
"63","Creatinine"
"64","2-Hydroxyglutaric acid"
"65","3-Hydroxyglutaric acid"
"66","2-Isopropylmalic acid"
"67","2-Ketoglutaric acid"
"68","Hypotaurine"
"69","Asparagine"
"70","Glutamic acid"
"71","Triethanolamine"
"72","Cadaverine"
"73","5-Aminovaleric acid"
"74","Phenylalanine"
"75","Lauric acid"
"76","Asparagine"
"77","3-Sulfinoalanine"
"78","Ribonolactone"
"79","Lysine"
"80","1-6 Anhydroglucose"
"81","2-Aminoadipic acid"
"82","Glutamine"
"83","Putrescine"
"84","Glycerol 3 phosphate"
"85","Dihydroxyacetone phosphate"
"86","Glutamine"
"87","2-Deoxy glucose"
"88","Azelaic acid"
"89","Glycyl Glycine"
"90","2-Aminopimelic acid"
"91","Citric acid"
"92","Ornithine"
"93","Arginine"
"94","Hypoxanthine"
"95","Glycyl Glycine"
"96","Cadaverine"
"97","Psicose"
"98","Tagatose"
"99","Methionine sulfone"
"100","Sorbose"
"101","Fructose"
"102","Sorbose"
"103","Myristic acid"
"104","Fructose"
"105","Galactose"
"106","Glucose"
"107","Mannose"
"108","Allose"
"109","Adenine"
"110","Glucose"
"111","Glucosamine"
"112","Mannitol"
"113","N Acetylglutamine"
"114","Sorbitol"
"115","Lysine"
"116","Histidine"
"117","Tyrosine"
"118","N6 Acetyllysine"
"119","1-Hexadecanol"
"120","Urocanic acid"
"121","Palmitic acid"
"122","N Acetylmannosamine"
"123","Inositol"
"124","Ribose 5 phosphate"
"125","Ribose 5 phosphate"
"126","Margaric acid"
"127","Octadecanol"
"128","Cystathionine"
"129","Linoleic acid"
"130","Oleic acid"
"131","Tryptophan"
"132","Elaidic acid"
"133","Spermidine"
"134","Stearic acid"
"135","Glucose 6 phosphate"
"136","Oleamide"
"137","Docosahexaenoic acid"
"138","Sucrose"
"139","Docosapentaenoic acid"
"140","Spermine"
