"","Avg.Egg","Avg.2cell","Avg.16cell","Avg.Morula","Avg.Blastula","Avg.Gastrula","Avg.Prism","Avg.Pluteus"
"C00009",1.24248295666667,0.4287427,-0.420121463333333,-0.900021256666667,-1.72036996333333,-1.44499030333333,0.46789109,2.34638625666667
"C00020",0.0590220503333333,-0.0134507916666667,0.060317914,0.113196142333333,-0.04132071,-0.065044095,-0.0528433243333333,-0.0598771863333333
"C00022",0.0121641803,0.1189831132,0.0281939144,-0.209374648166667,-0.180014199766667,-0.253543136266667,-0.0412706972333333,0.5248614736
"C00025",-1.160689,0.0122501666666667,0.844636866666667,0.0611508,-0.394428233333333,1.26881943333333,-0.191089033333333,-0.440651
"C00026",-0.262012410666667,-0.208260828666667,-0.0287865193333333,0.0182401356666667,0.419037101333333,-0.0241287183333333,0.0475052993333333,0.03840594
"C00037",0.0140114333333334,1.00423526666667,0.0140114333333334,1.00423526666667,1.00423526666667,-1.74499523333333,-2.29996863333333,1.00423526666667
"C00041",1.34898016666667,0.219269233333333,1.34898016666667,0.219269233333333,-1.78751856666667,-1.78751856666667,0.219269233333333,0.219269233333333
"C00042",-0.174223893333333,-0.0274344166666667,0.13160502,0.216545883333333,0.0674742866666667,-0.199080333333333,-0.141033673333333,0.12614712
"C00047",0.463691969833333,0.628123065,0.479923077333333,0.277771380333333,-0.369866127333333,-0.2297445215,-0.642572907,-0.607325932333333
"C00048",-0.436339833333333,-0.293386423333333,-0.363137076666667,-0.66962036,-0.281605343333333,0.125741043333333,0.987663686666667,0.930684313333333
"C00049",-0.543747316666667,-0.12836287,-0.300600176666667,0.0626580366666667,-0.0954069233333333,-0.12460148,0.68797101,0.442089706666667
"C00062",0.182093616666667,0.227182756666667,0.22840243,0.236195236666667,-0.175798983333333,-0.225821513333333,-0.234150796666667,-0.23810275
"C00064",1.57931026333333,1.465898105,0.771713331666667,-0.48832511,-0.819869713333333,-0.80483099,-0.853692813333333,-0.850203108333333
"C00073",0.0474476846,-0.202070065366667,-0.1087990034,0.183889752533333,0.0639426655333333,0.0868844623666667,-0.0178318304333333,-0.0534636659
"C00077",0.671335413333333,0.529233826666667,0.367926471666667,0.591517356666667,-0.426427965,-0.516985918333333,-0.608563511666667,-0.608035671666667
"C00078",0.492720383333333,-0.128378413333333,0.138671083333333,0.63252459,0.0096792,-0.36949753,-0.38696852,-0.38875079
"C00079",-0.0893090733333333,-0.37088347,-0.07392773,1.08356324333333,1.23181865333333,-0.568927096666667,-0.528533906666667,-0.683800623333333
"C00082",0.12355456,-1.18175368,-1.02560409666667,-0.181814733333333,2.15771516333333,-0.41091326,0.03377362,0.485042436666667
"C00085",-0.006023007,-0.00572687766666667,0.006937754,0.012334241,-0.00541100833333333,-0.000368919666666667,-0.000368919666666667,-0.00137326366666667
"C00086",-0.1915147,-0.271777673333333,-0.0492313633333333,-0.181724513333333,-0.304394213333333,0.24028391,0.27473513,0.483623423333333
"C00089",-0.0296527633333333,-0.0703495,-0.0954640333333333,-0.0787341733333333,-0.0749766366666667,0.12013277,0.133184243333333,0.09586009
"C00668",-0.00354465766666667,-0.046852917,-0.0243199016666667,-0.000733131000000001,-0.052670201,-0.006463353,0.0494103386666667,0.0851738223333333
"C00093",-0.587082663333333,-0.218838276666667,0.0519332533333333,0.947985713333333,0.297500973333333,-0.239134786666667,-0.174048766666667,-0.0783154466666667
"C00097",0.613745636666667,-0.238322716666667,0.39931017,0.586002343333333,0.849724126666667,-0.331909406666667,-0.912215216666667,-0.966334936666667
"C00099",0.03890117,-0.209992638333333,-0.10220071,-0.00788466999999999,0.174921071666667,0.0250379216666666,0.00743307833333332,0.0737847783333334
"C00105",0.0205663033333333,-0.0345285333333333,0.09530411,0.207039256666667,-0.09769653,-0.0715262733333333,-0.0564097,-0.0627486433333333
"C00106",0.114093256666667,-0.0206310833333333,-0.0318567933333333,-0.09493388,-0.0746962533333333,0.01101624,0.0845693933333333,0.0124391133333333
"C00111",-0.391055252,-0.139988859166667,0.127743637,0.532556912333333,0.1675344285,-0.114075765333333,-0.119978947333333,-0.062736151
"C00117",-0.00764975723333333,-0.0589673216833333,0.0808888751833333,0.08552082725,-0.0124549400666667,-0.0547613197,-0.0018660561,-0.03071030435
"C00122",-0.323141026666667,-0.148035954966667,-0.101476650033333,0.3869657436,0.0615006330666667,-0.0229441199666667,0.0802417956666667,0.0668895792333333
"C00123",-0.0384718666666667,-0.7146202,-0.376546033333333,1.2223289,0.856259466666667,-0.3844226,-0.342697466666667,-0.221830133333333
"C00134",0.00695211233333333,-0.00858409166666667,-0.150609936,-0.106259399,-0.0198300156666667,0.0483126593333333,0.187344797,0.0426738733333333
"C00135",0.271306176666667,-0.327734516666667,0.221360093333333,0.801865136666667,0.946118043333333,-0.344980093333333,-0.754517656666667,-0.813417183333333
"C00137",-0.119938242,-0.102643761,-0.11386001,-0.0614297053333333,0.271375816333333,0.201345639,-0.0412814426666667,-0.0335682936666667
"C00147",0.0723497533333333,0.0485537333333333,0.26112174,0.485504093333333,0.0395395066666667,-0.14118688,-0.350046346666667,-0.415835596666667
"C00148",-0.867658133333333,-0.700547533333333,-0.177216433333333,0.3381166,0.8377846,0.318724033333333,-0.0833702666666667,0.334167066666667
"C00152",0.5996185065,0.360902443666667,0.314448302666667,0.0377182428333333,-0.308443585166667,-0.342639553,-0.330814692,-0.330789698333333
"C00153",0.238043107666667,0.0807510233333333,0.00658983066666666,-0.0379474613333333,-0.171480357666667,-0.164805237333333,-0.0117753306666667,0.060624425
"C00158",-0.224451340666667,-0.0988168363333333,0.0608074126666667,0.329243360333333,0.002030701,-0.0682854796666667,-0.00342980366666667,0.00290198633333333
"C00178",0.0507301055,0.0348909781666667,-0.0090174902,-0.0093701134,0.0316827279666667,-0.0327558232,-0.0329720693666667,-0.0331883155333333
"C00183",-2.56271603333333,-2.01308563333333,-0.8682435,-0.0225257999999999,1.6689096,0.8231919,2.81433386666667,0.160135433333333
"C00186",-0.49431179,-0.519884953333333,-0.708618703333333,-0.383687593333333,-0.02215353,0.131376393333333,0.853884423333333,1.14339575
"C00188",0.2022144,-0.123923633333333,0.459195033333333,-0.176446366666667,-0.2393682,-0.437682333333333,0.0820973,0.2339138
