"","Avg.Egg","Avg.2cell","Avg.16cell","Avg.Morula","Avg.Blastula","Avg.Gastrula","Avg.Prism","Avg.Pluteus","Multiple"
"100048986",1.13,1.158,1.141,1.077,0.925,0.811,0.771,0.745,0.000231494070541257
"100887846",0.931,1.058,0.877,1.101,0.817,1.268,1.077,1.428,0.572784671060624
"100887856",0.733,0.932,0.829,1.028,1.114,0.971,2.329,0.9,0.0864599936742356
"100887880",1.082,1.013,1.046,1.005,0.963,0.921,0.777,1.208,0.173639945759538
"100887930",0.984,0.911,0.671,1.042,0.885,1.409,0.969,1.225,0.790978197399381
"100887936",0.88,1.181,1.007,0.704,1.007,1.01,1.627,1.367,0.0410750828236898
"100887940",0.987,0.735,0.965,0.874,0.907,0.989,1.38,1.102,0.347104730878431
"100887942",1.012,1.02,1.13,0.981,1.001,0.978,0.862,0.876,0.931021745301439
"100887959",0.842,0.918,1.048,0.904,1.064,1.6,1.19,1.126,0.0612801071435344
"100888004",1.069,1.077,1.051,1.057,0.895,0.912,0.919,0.878,0.423508160652221
"100888041",0.665,0.838,0.934,1.098,1.086,1.287,1.102,1.036,0.0714581948963203
"100888050",0.904,1.045,1.064,1.019,0.911,1.042,1.014,0.995,0.964208439044008
"100888053",0.635,0.967,0.759,0.968,2.898,2.355,0.975,1.229,0.558006652430204
"100888054",1.221,1.112,0.903,0.892,0.827,1.171,1.148,1.064,0.627193504247769
"100888079",1.072,1.005,0.949,1.077,1.012,0.935,1.071,0.948,0.99608527779594
"100888119",0.592,1.403,0.735,0.935,0.656,0.693,1.3,1.819,0.0184603145105187
"100888150",1.589,0.781,1.09,1.09,0.945,0.872,2.158,1.694,0.464863041074214
"100888152",0.916,1.126,1.061,0.868,0.977,0.809,0.915,1.051,0.787917605237613
"100888211",0.937,1.099,0.961,0.944,1.006,1.041,0.943,0.998,0.999626127469668
"100888242",0.726,0.943,1.006,0.734,0.895,1.059,1.417,1.328,0.0138459392424854
"100888295",1.302,1.073,1.427,0.855,1.252,0.754,0.756,1.454,0.683926292633993
"100888309",0.836,1.088,0.916,0.891,0.903,1.055,1.097,1.283,0.399410576759725
"100888336",1.607,0.775,1.608,1.814,1.538,1.525,2.65,1.48,0.874843432477194
"100888341",1.367,1.789,1.982,2.385,0.745,1.62,1.068,0.903,0.376321283995209
"100888374",1.215,0.916,1.072,0.994,1.031,2.12,0.923,0.885,0.330623457878813
"100888397",0.817,1.03,1.036,1.205,0.967,0.961,0.657,1.2,0.938060486783414
"100888399",0.797,0.784,1.053,0.85,1.128,1.046,1.176,1.142,0.166700153164074
"100888408",1.149,1.16,1.065,1.702,1.192,1.294,0.702,0.582,0.54400028299812
"100888421",1.131,0.984,0.983,1.15,1.079,0.938,0.837,0.65,0.00572036245995518
"100888457",0.941,0.957,0.955,1.053,0.904,0.936,1.329,1.253,0.308835146426717
"100888484",1.56,1.214,1.215,0.942,0.91,1.555,1.173,3.467,0.725374361521751
"100888486",1.186,0.948,1.225,1.065,0.874,1.65,1.117,1.102,0.147789262372845
"100888488",1.218,1.101,0.974,1.108,0.946,0.701,0.705,1.07,0.00888930342879258
"100888493",0.997,1.115,0.997,1.075,1.209,0.803,1.133,1.758,0.658837133363891
"100888546",1.006,1.066,1,0.995,0.888,0.93,0.973,1.982,9.34836001450161e-05
"100888559",1.117,1.159,1.103,1.082,0.995,0.918,0.769,0.637,0.000150310827946374
"100888568",1.121,1.042,1.132,1.098,0.976,1.082,0.987,1.055,0.998621247950277
"100888576",0.973,1.057,0.975,1.22,1.08,3.071,2.384,2.734,0.348194968498129
"100888578",0.817,0.93,0.897,1.153,1.338,1.038,1.007,1.024,0.202320715433939
"100888621",1.259,1.253,1.154,1.3,1.112,0.783,0.643,0.614,0.101243994307267
"100888669",1.079,0.923,1.018,0.853,0.919,1.321,0.861,1.017,0.573901679588597
"100888705",1.055,0.926,1.241,1.057,1.09,0.636,1.142,0.846,0.253696776160269
