"","Class.L3","V1"
"1","Immunity_ReceptorOtherPRR","ECB-GENEPAGE-23034559"
"2","Immunity_ReceptorOtherPRR","ECB-GENEPAGE-23034564"
"3","Immunity_ReceptorOtherPRR","ECB-GENEPAGE-23052193"
"4","Immunity_ReceptorOtherPRR","ECB-GENEPAGE-23052189"
"5","Signaling_WntFzd","ECB-GENEPAGE-23168188"
"6","Metabolism_AminoAcid","ECB-GENEPAGE-23051153"
"7","Metabolism_AminoAcid","ECB-GENEPAGE-23051171"
"8","Metabolism_AminoAcid","ECB-GENEPAGE-23051331"
"9","Immunity_ReceptorNLR","ECB-GENEPAGE-23027609"
"10","Immunity_ReceptorNLR","ECB-GENEPAGE-23027617"
"11","Immunity_ReceptorNLR","ECB-GENEPAGE-23027613"
"12","Immunity_ReceptorNLR","ECB-GENEPAGE-23027602"
"13","Immunity_ReceptorNLR","ECB-GENEPAGE-23032908"
"14","ZNF","ECB-GENEPAGE-23041339"
"15","ZNF","ECB-GENEPAGE-23060359"
"16","ZNF","ECB-GENEPAGE-23060380"
"17","ZNF","ECB-GENEPAGE-23041339"
"18","Metabolism_Energy","ECB-GENEPAGE-23086966"
"19","Metabolism_Nucleotide","ECB-GENEPAGE-23023583"
"20","Metabolism_Lipid","ECB-GENEPAGE-23181440"
"21","DNAReplication","ECB-GENEPAGE-23143878"
"22","Kinase_Other","ECB-GENEPAGE-23143878"
"23","Metabolism_AminoAcid","ECB-GENEPAGE-23143893"
"24","Metabolism_Lipid","ECB-GENEPAGE-23185573"
"25","Metabolism_Lipid","ECB-GENEPAGE-23089597"
"26","Nervous_Retinal","ECB-GENEPAGE-23014357"
"27","Nervous_Retinal","ECB-GENEPAGE-23014353"
"28","Nervous_Retinal","ECB-GENEPAGE-23183352"
"29","Cytoskeleton_Tubulin","ECB-GENEPAGE-23014357"
"30","Cytoskeleton_Tubulin","ECB-GENEPAGE-23014353"
"31","Cytoskeleton_Tubulin","ECB-GENEPAGE-23183352"
"32","Metabolism_SecondaryMetabolites","ECB-GENEPAGE-23192401"
"33","GPCRRhodopsin_All","ECB-GENEPAGE-23192392"
"34","CalciumToolkit","ECB-GENEPAGE-23192392"
"35","Nervous_Chemosensory","ECB-GENEPAGE-23192392"
"36","Metabolism_AminoAcid","ECB-GENEPAGE-23046387"
"37","Kinase_TKL","ECB-GENEPAGE-23159755"
"38","Immunity_Signal","ECB-GENEPAGE-23159755"
"39","Metalloprotease","ECB-GENEPAGE-23159713"
"40","Nervous_NeurotransmitterRelated","ECB-GENEPAGE-23159703"
"41","Metabolism_Energy","ECB-GENEPAGE-23159735"
"42","GPCRRhodopsin_All","ECB-GENEPAGE-23047286"
"43","GPCRRhodopsin_All","ECB-GENEPAGE-23046968"
"44","Nervous_Chemosensory","ECB-GENEPAGE-23047286"
"45","Nervous_Chemosensory","ECB-GENEPAGE-23046968"
"46","Nervous_NOSignaling","ECB-GENEPAGE-23035286"
"47","Nervous_NOSignaling","ECB-GENEPAGE-23035249"
"48","Metabolism_InorganicIon","ECB-GENEPAGE-23152150"
"49","Nervous_Retinal","ECB-GENEPAGE-23152150"
"50","Nervous_VGIC","ECB-GENEPAGE-23152150"
"51","Cytoskeleton_MicrotubuleAssociated","ECB-GENEPAGE-23170083"
"52","Kinase_TKL","ECB-GENEPAGE-23179627"
"53","EggActivation","ECB-GENEPAGE-23179627"
"54","Metabolism_Nucleotide","ECB-GENEPAGE-23049102"
