"","Class.L1","V1"
"1","Adhesion","ECB-GENEPAGE-23145484"
"2","Adhesion","ECB-GENEPAGE-23139498"
"3","Adhesion","ECB-GENEPAGE-23053546"
"4","Adhesion","ECB-GENEPAGE-23057501"
"5","Adhesion","ECB-GENEPAGE-23041842"
"6","Adhesion","ECB-GENEPAGE-23019462"
"7","Adhesion","ECB-GENEPAGE-23165729"
"8","Adhesion","ECB-GENEPAGE-23019455"
"9","Adhesion","ECB-GENEPAGE-23172657"
"10","Adhesion","ECB-GENEPAGE-23139498"
"11","Adhesion","ECB-GENEPAGE-23041842"
"12","Adhesion","ECB-GENEPAGE-23194631"
"13","Adhesion","ECB-GENEPAGE-23165769"
"14","Adhesion","ECB-GENEPAGE-23053546"
"15","Adhesion","ECB-GENEPAGE-23165712"
"16","Adhesion","ECB-GENEPAGE-23165729"
"17","Adhesion","ECB-GENEPAGE-23141829"
"18","Adhesion","ECB-GENEPAGE-23053528"
"19","Adhesion","ECB-GENEPAGE-23172269"
"20","Adhesion","ECB-GENEPAGE-23103057"
"21","Adhesion","ECB-GENEPAGE-23053528"
"22","Adhesion","ECB-GENEPAGE-23172657"
"23","Adhesion","ECB-GENEPAGE-23172657"
"24","Adhesion","ECB-GENEPAGE-23049876"
"25","Adhesion","ECB-GENEPAGE-23165769"
"26","Adhesion","ECB-GENEPAGE-23024219"
"27","Adhesion","ECB-GENEPAGE-23165769"
"28","Adhesion","ECB-GENEPAGE-23139498"
"29","Adhesion","ECB-GENEPAGE-23053528"
"30","Adhesion","ECB-GENEPAGE-23041842"
"31","Adhesion","ECB-GENEPAGE-23165749"
"32","Adhesion","ECB-GENEPAGE-23194720"
"33","Adhesion","ECB-GENEPAGE-23023688"
"34","Adhesion","ECB-GENEPAGE-23139498"
"35","Adhesion","ECB-GENEPAGE-23040614"
"36","Adhesion","ECB-GENEPAGE-23024219"
"37","Adhesion","ECB-GENEPAGE-23057501"
"38","Adhesion","ECB-GENEPAGE-23145484"
"39","Adhesion","ECB-GENEPAGE-23057501"
"40","Adhesion","ECB-GENEPAGE-23135086"
"41","Adhesion","ECB-GENEPAGE-23061007"
"42","Adhesion","ECB-GENEPAGE-23023529"
"43","Adhesion","ECB-GENEPAGE-23154986"
"44","Adhesion","ECB-GENEPAGE-23164137"
"45","Adhesion","ECB-GENEPAGE-23135098"
"46","Adhesion","ECB-GENEPAGE-23129427"
"47","Adhesion","ECB-GENEPAGE-23070887"
"48","Adhesion","ECB-GENEPAGE-23023514"
"49","Adhesion","ECB-GENEPAGE-23103621"
"50","Adhesion","ECB-GENEPAGE-23055871"
"51","Adhesion","ECB-GENEPAGE-23070900"
"52","Adhesion","ECB-GENEPAGE-23070887"
"53","Adhesion","ECB-GENEPAGE-23137666"
"54","Adhesion","ECB-GENEPAGE-23067593"
"55","Adhesion","ECB-GENEPAGE-23107518"
"56","Adhesion","ECB-GENEPAGE-23138265"
"57","Adhesion","ECB-GENEPAGE-23185990"
"58","Adhesion","ECB-GENEPAGE-23164951"
"59","Adhesion","ECB-GENEPAGE-23138265"
"60","Adhesion","ECB-GENEPAGE-23137035"
"61","Adhesion","ECB-GENEPAGE-23064348"
"62","Adhesion","ECB-GENEPAGE-23053730"
"63","Adhesion","ECB-GENEPAGE-23070896"
"64","Adhesion","ECB-GENEPAGE-23064007"
"65","Adhesion","ECB-GENEPAGE-23177634"
"66","Adhesion","ECB-GENEPAGE-23114372"
"67","Adhesion","ECB-GENEPAGE-23171673"
"68","Adhesion","ECB-GENEPAGE-23141115"
"69","Adhesion","ECB-GENEPAGE-23023533"
"70","Adhesion","ECB-GENEPAGE-23154580"
"71","Adhesion","ECB-GENEPAGE-23164137"
"72","Adhesion","ECB-GENEPAGE-23033823"
"73","Adhesion","ECB-GENEPAGE-23055860"
"74","Adhesion","ECB-GENEPAGE-23141111"
"75","Adhesion","ECB-GENEPAGE-23103601"
"76","Adhesion","ECB-GENEPAGE-23154722"
"77","Adhesion","ECB-GENEPAGE-23023538"
"78","Adhesion","ECB-GENEPAGE-23113433"
"79","Adhesion","ECB-GENEPAGE-23143807"
"80","Adhesion","ECB-GENEPAGE-23110451"
"81","Adhesion","ECB-GENEPAGE-23092392"
"82","Adhesion","ECB-GENEPAGE-23145235"
"83","Adhesion","ECB-GENEPAGE-23196291"
"84","Adhesion","ECB-GENEPAGE-23133104"
"85","Adhesion","ECB-GENEPAGE-23107518"
"86","Adhesion","ECB-GENEPAGE-23092740"
