"","GOID","TERM"
"1","GO:0000001","mitochondrion inheritance"
"2","GO:0000002","mitochondrial genome maintenance"
"3","GO:0000003","reproduction"
"4","GO:0000006","high-affinity zinc transmembrane transporter activity"
"5","GO:0000007","low-affinity zinc ion transmembrane transporter activity"
"6","GO:0000009","alpha-1,6-mannosyltransferase activity"
"7","GO:0000010","trans-hexaprenyltranstransferase activity"
"8","GO:0000011","vacuole inheritance"
"9","GO:0000012","single strand break repair"
"10","GO:0000014","single-stranded DNA endodeoxyribonuclease activity"
"11","GO:0000015","phosphopyruvate hydratase complex"
"12","GO:0000016","lactase activity"
"13","GO:0000017","alpha-glucoside transport"
"14","GO:0000018","regulation of DNA recombination"
"15","GO:0000019","regulation of mitotic recombination"
"16","GO:0000022","mitotic spindle elongation"
"17","GO:0000023","maltose metabolic process"
"18","GO:0000024","maltose biosynthetic process"
"19","GO:0000025","maltose catabolic process"
"20","GO:0000026","alpha-1,2-mannosyltransferase activity"
"21","GO:0000027","ribosomal large subunit assembly"
"22","GO:0000028","ribosomal small subunit assembly"
"23","GO:0000030","mannosyltransferase activity"
"24","GO:0000031","mannosylphosphate transferase activity"
"25","GO:0000032","cell wall mannoprotein biosynthetic process"
"26","GO:0000033","alpha-1,3-mannosyltransferase activity"
"27","GO:0000034","adenine deaminase activity"
"28","GO:0000035","acyl binding"
"29","GO:0000036","acyl carrier activity"
"30","GO:0000038","very long-chain fatty acid metabolic process"
"31","GO:0000041","transition metal ion transport"
"32","GO:0000045","autophagosome assembly"
"33","GO:0000048","peptidyltransferase activity"
"34","GO:0000049","tRNA binding"
"35","GO:0000050","urea cycle"
"36","GO:0000052","citrulline metabolic process"
"37","GO:0000053","argininosuccinate metabolic process"
"38","GO:0000054","ribosomal subunit export from nucleus"
"39","GO:0000055","ribosomal large subunit export from nucleus"
"40","GO:0000056","ribosomal small subunit export from nucleus"
"41","GO:0000062","fatty-acyl-CoA binding"
"42","GO:0000064","L-ornithine transmembrane transporter activity"
"43","GO:0000070","mitotic sister chromatid segregation"
"44","GO:0000073","initial mitotic spindle pole body separation"
"45","GO:0000075","cell cycle checkpoint"
"46","GO:0000076","DNA replication checkpoint"
"47","GO:0000077","DNA damage checkpoint"
"48","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity"
"49","GO:0000080","mitotic G1 phase"
"50","GO:0000082","G1/S transition of mitotic cell cycle"
"51","GO:0000083","regulation of transcription involved in G1/S transition of mitotic cell cycle"
"52","GO:0000084","mitotic S phase"
"53","GO:0000085","mitotic G2 phase"
"54","GO:0000086","G2/M transition of mitotic cell cycle"
"55","GO:0000087","mitotic M phase"
"56","GO:0000088","mitotic prophase"
"57","GO:0000089","mitotic metaphase"
"58","GO:0000090","mitotic anaphase"
"59","GO:0000091","mitotic anaphase A"
"60","GO:0000092","mitotic anaphase B"
"61","GO:0000093","mitotic telophase"
"62","GO:0000095","S-adenosyl-L-methionine transmembrane transporter activity"
"63","GO:0000096","sulfur amino acid metabolic process"
"64","GO:0000097","sulfur amino acid biosynthetic process"
"65","GO:0000098","sulfur amino acid catabolic process"
"66","GO:0000099","sulfur amino acid transmembrane transporter activity"
"67","GO:0000100","S-methylmethionine transmembrane transporter activity"
"68","GO:0000101","sulfur amino acid transport"
"69","GO:0000102","L-methionine secondary active transmembrane transporter activity"
"70","GO:0000103","sulfate assimilation"
"71","GO:0000104","succinate dehydrogenase activity"
"72","GO:0000105","histidine biosynthetic process"
"73","GO:0000107","imidazoleglycerol-phosphate synthase activity"
"74","GO:0000109","nucleotide-excision repair complex"
"75","GO:0000110","nucleotide-excision repair factor 1 complex"
"76","GO:0000111","nucleotide-excision repair factor 2 complex"
"77","GO:0000112","nucleotide-excision repair factor 3 complex"
"78","GO:0000113","nucleotide-excision repair factor 4 complex"
"79","GO:0000117","regulation of transcription involved in G2/M transition of mitotic cell cycle"
"80","GO:0000118","histone deacetylase complex"
"81","GO:0000120","RNA polymerase I transcription regulator complex"
"82","GO:0000121","glycerol-1-phosphatase activity"
"83","GO:0000122","negative regulation of transcription by RNA polymerase II"
"84","GO:0000123","histone acetyltransferase complex"
"85","GO:0000124","SAGA complex"
"86","GO:0000125","PCAF complex"
"87","GO:0000126","transcription factor TFIIIB complex"
"88","GO:0000127","transcription factor TFIIIC complex"
"89","GO:0000128","flocculation"
"90","GO:0000131","incipient cellular bud site"
"91","GO:0000132","establishment of mitotic spindle orientation"
"92","GO:0000133","polarisome"
"93","GO:0000136","mannan polymerase complex"
"94","GO:0000137","Golgi cis cisterna"
"95","GO:0000138","Golgi trans cisterna"
"96","GO:0000139","Golgi membrane"
"97","GO:0000140","acylglycerone-phosphate reductase activity"
"98","GO:0000142","cellular bud neck contractile ring"
"99","GO:0000144","cellular bud neck septin ring"
"100","GO:0000145","exocyst"
"101","GO:0000146","microfilament motor activity"
"102","GO:0000147","actin cortical patch assembly"
"103","GO:0000148","1,3-beta-D-glucan synthase complex"
"104","GO:0000149","SNARE binding"
"105","GO:0000150","recombinase activity"
"106","GO:0000151","ubiquitin ligase complex"
"107","GO:0000152","nuclear ubiquitin ligase complex"
"108","GO:0000153","cytoplasmic ubiquitin ligase complex"
"109","GO:0000154","rRNA modification"
"110","GO:0000155","phosphorelay sensor kinase activity"
"111","GO:0000156","phosphorelay response regulator activity"
"112","GO:0000159","protein phosphatase type 2A complex"
"113","GO:0000160","phosphorelay signal transduction system"
"114","GO:0000161","osmosensory signaling MAPK cascade"
"115","GO:0000162","tryptophan biosynthetic process"
"116","GO:0000164","protein phosphatase type 1 complex"
"117","GO:0000165","MAPK cascade"
"118","GO:0000166","nucleotide binding"
"119","GO:0000167","activation of MAPKKK activity involved in osmosensory signaling pathway"
"120","GO:0000168","activation of MAPKK activity involved in osmosensory signaling pathway"
"121","GO:0000169","activation of MAPK activity involved in osmosensory signaling pathway"
"122","GO:0000170","sphingosine hydroxylase activity"
