"","x"
"1","Glyoxylic acid"
"2","Pyruvic acid"
"3","Lactic acid"
"4","Caproic acid"
"5","Glycolic acid"
"6","Alanine"
"7","Hydroxylamine"
"8","Glycine"
"9","Oxalic acid"
"10","3-Hydroxypropionic acid"
"11","2-Aminoisobutyric acid"
"12","3-Hydroxybutyric acid"
"13","2-Aminobutyric acid"
"14","3-Aminopropanoic acid"
"15","Valine"
"16","Urea"
"17","Serine"
"18","Benzoic acid"
"19","2-Aminoethanol"
"20","Glycerol"
"21","Octanoic acid"
"22","Leucine"
"23","Phosphoric acid"
"24","Isoleucine"
"25","Proline"
"26","Glycine"
"27","Maleic acid"
"28","Nicotinic acid"
"29","Succinic acid"
"30","Glyceric acid"
"31","Uracil"
"32","Serine"
"33","Fumaric acid"
"34","Nonanoic acid"
"35","Threonine"
"36","Glutaric acid"
"37","3-Aminopropanoic acid"
"38","Decanoic acid"
"39","Citramalic acid"
"40","Malic acid"
"41","Niacinamide"
"42","Adipic acid"
"43","Aspartic acid"
"44","3-Aminoglutaric acid"
"45","4-Hydroxyproline"
"46","Methionine"
"47","5-Oxoproline"
"48","Cytosine"
"49","Threonic acid"
"50","Cysteine"
"51","Creatinine"
"52","2-Hydroxyglutaric acid"
"53","3-Hydroxyglutaric acid"
"54","2-Isopropylmalic acid"
"55","2-Ketoglutaric acid"
"56","Hypotaurine"
"57","Ornithine"
"58","Glutamic acid"
"59","Triethanolamine"
"60","5-Aminovaleric acid"
"61","Phenylalanine"
"62","Lauric acid"
"63","Asparagine"
"64","Ribonolactone"
"65","1-6 Anhydroglucose"
"66","2-Aminoadipic acid"
"67","Glutamine"
"68","Putrescine"
"69","Glycerol 3 phosphate"
"70","Dihydroxyacetone phosphate"
"71","Glutamine"
"72","2-Deoxy glucose"
"73","2-Deoxy glucose"
"74","Glycyl Glycine"
"75","2-Aminopimelic acid"
"76","Citric acid"
"77","Ornithine"
"78","Arginine"
"79","Glycyl Glycine"
"80","Cadaverine"
"81","Psicose"
"82","Tagatose"
"83","Methionine sulfone"
"84","Sorbose"
"85","Fructose"
"86","Sorbose"
"87","Myristic acid"
"88","Fructose"
"89","Mannose"
"90","Galactose"
"91","Glucose"
"92","Mannose"
"93","Allose"
"94","Galactose"
"95","Adenine"
"96","Glucose"
"97","Mannitol"
"98","Sorbitol"
"99","Lysine"
"100","Tyramine"
"101","Ureidosuccinic acid"
"102","Tyrosine"
"103","1-Hexadecanol"
"104","Palmitoleic acid"
"105","Palmitic acid"
"106","Inositol"
"107","Margaric acid"
"108","Octadecanol"
"109","Cystathionine"
"110","Linoleic acid"
"111","Oleic acid"
"112","Elaidic acid"
"113","Spermidine"
"114","Stearic acid"
"115","Oleamide"
"116","Sucrose"
"117","Docosapentaenoic acid"
