"","x"
"1","Glyoxylic acid"
"2","Pyruvic acid"
"3","Lactic acid"
"4","Caproic acid"
"5","Glycolic acid"
"6","Alanine"
"7","Hydroxylamine"
"8","Glycine"
"9","Oxalic acid"
"10","3-Hydroxypropionic acid"
"11","2-Aminoisobutyric acid"
"12","3-Hydroxybutyric acid"
"13","2-Aminobutyric acid"
"14","3-Aminopropanoic acid"
"15","3-Aminoisobutyric acid"
"16","Valine"
"17","Urea"
"18","Serine"
"19","Benzoic acid"
"20","2-Aminoethanol"
"21","Octanoic acid"
"22","Leucine"
"23","Phosphoric acid"
"24","Isoleucine"
"25","Proline"
"26","Maleic acid"
"27","Nicotinic acid"
"28","Succinic acid"
"29","Glyceric acid"
"30","Uracil"
"31","Serine"
"32","Fumaric acid"
"33","Nonanoic acid"
"34","Threonine"
"35","Thymine"
"36","Glutaric acid"
"37","Hydroquinone"
"38","3-Aminopropanoic acid"
"39","Glutaconic acid"
"40","3-Aminoisobutyric acid"
"41","Decanoic acid"
"42","Citramalic acid"
"43","Malic acid"
"44","Niacinamide"
"45","Adipic acid"
"46","Aspartic acid"
"47","3-Aminoglutaric acid"
"48","4-Hydroxyproline"
"49","Methionine"
"50","4-Aminobutyric acid"
"51","5-Oxoproline"
"52","Cytosine"
"53","Threonic acid"
"54","Cysteine"
"55","Creatinine"
"56","2-Hydroxyglutaric acid"
"57","3-Hydroxyglutaric acid"
"58","2-Isopropylmalic acid"
"59","2-Ketoglutaric acid"
"60","Hypotaurine"
"61","Ornithine"
"62","Asparagine"
"63","Glutamic acid"
"64","Triethanolamine"
"65","5-Aminovaleric acid"
"66","Phenylalanine"
"67","Lyxose"
"68","Arabinose"
"69","Lauric acid"
"70","Homocysteine"
"71","Asparagine"
"72","3-Sulfinoalanine"
"73","Ribonolactone"
"74","Lysine"
"75","1-6 Anhydroglucose"
"76","2-Aminoadipic acid"
"77","Glutamine"
"78","Putrescine"
"79","Dihydroxyacetone phosphate"
"80","Glycerol 3 phosphate"
"81","Dihydroxyacetone phosphate"
"82","Glutamine"
"83","O Phosphoethanolamine"
"84","2-Deoxy glucose"
"85","Glycyl Glycine"
"86","2-Aminopimelic acid"
"87","Citric acid"
"88","Ornithine"
"89","Arginine"
"90","Hypoxanthine"
"91","Glycyl Glycine"
"92","Cadaverine"
"93","Methionine sulfone"
"94","Allose"
"95","Myristic acid"
"96","Galactose"
"97","Glucose"
"98","Mannose"
"99","Allose"
"100","Galactose"
"101","Adenine"
"102","Glucose"
"103","Glucosamine"
"104","Mannitol"
"105","Sorbitol"
"106","Lysine"
"107","Glucuronic acid"
"108","Tyramine"
"109","Histidine"
"110","Ureidosuccinic acid"
"111","Ascorbic acid"
"112","Tyrosine"
"113","Galacturonic acid"
"114","1-Hexadecanol"
"115","Glucaric acid"
"116","Urocanic acid"
"117","Palmitic acid"
"118","N Acetylmannosamine"
"119","Inositol"
"120","Ribose 5 phosphate"
"121","Ribose 5 phosphate"
"122","Ribulose 5 phosphate"
"123","Guanine"
"124","Norepinephrine"
"125","Margaric acid"
"126","Octadecanol"
"127","Cystathionine"
"128","X7 Methylguanine"
"129","Linoleic acid"
"130","Oleic acid"
"131","Tryptophan"
"132","Elaidic acid"
"133","Spermidine"
"134","Tryptamine"
"135","Stearic acid"
"136","Fructose 6 phosphate"
"137","Glucose 6 phosphate"
"138","Cystine"
"139","Oleamide"
"140","Sedoheptulose 7 phosphate"
"141","Docosahexaenoic acid"
"142","Sucrose"
"143","Adenosine"
"144","Cytidine"
"145","Lactitol"
"146","Spermine"
"147","Uridine monophosphate"
"148","Adenosine monophosphate"
