"","x"
"1","Glyoxylic acid"
"2","Pyruvic acid"
"3","Lactic acid"
"4","Caproic acid"
"5","Glycolic acid"
"6","Alanine"
"7","Hydroxylamine"
"8","Glycine"
"9","Oxalic acid"
"10","3-Hydroxypropionic acid"
"11","2-Aminoisobutyric acid"
"12","3-Hydroxybutyric acid"
"13","2-Aminobutyric acid"
"14","3-Aminopropanoic acid"
"15","3-Aminoisobutyric acid"
"16","Valine"
"17","Urea"
"18","Serine"
"19","Benzoic acid"
"20","2-Aminoethanol"
"21","Glycerol"
"22","Octanoic acid"
"23","Leucine"
"24","Phosphoric acid"
"25","Isoleucine"
"26","Proline"
"27","Glycine"
"28","Maleic acid"
"29","Nicotinic acid"
"30","Succinic acid"
"31","Glyceric acid"
"32","Uracil"
"33","Serine"
"34","Fumaric acid"
"35","Nonanoic acid"
"36","Threonine"
"37","Glutaric acid"
"38","3-Aminopropanoic acid"
"39","3-Aminoisobutyric acid"
"40","Decanoic acid"
"41","Malic acid"
"42","Niacinamide"
"43","Adipic acid"
"44","Aspartic acid"
"45","3-Aminoglutaric acid"
"46","4-Hydroxyproline"
"47","Methionine"
"48","4-Aminobutyric acid"
"49","5-Oxoproline"
"50","Cytosine"
"51","Threonic acid"
"52","Cysteine"
"53","Creatinine"
"54","2-Hydroxyglutaric acid"
"55","3-Hydroxyglutaric acid"
"56","2-Isopropylmalic acid"
"57","O Phosphoethanolamine"
"58","2-Ketoglutaric acid"
"59","Hypotaurine"
"60","Ornithine"
"61","Glutamic aci3C5"
"62","Asparagine"
"63","Glutamic acid"
"64","Triethanolamine"
"65","5-Aminovaleric acid"
"66","Phenylalanine"
"67","Lauric acid"
"68","Homocysteine"
"69","Asparagine"
"70","Ribonolactone"
"71","Lysine"
"72","1-6 Anhydroglucose"
"73","2-Aminoadipic acid"
"74","Glutamine"
"75","Putrescine"
"76","Dihydroxyacetone phosphate"
"77","Glycerol 3 phosphate"
"78","Dihydroxyacetone phosphate"
"79","Glutamine"
"80","2-Deoxy glucose"
"81","Glycyl Glycine"
"82","2-Aminopimelic acid"
"83","Citric acid"
"84","Ornithine"
"85","Arginine"
"86","O Phospho Serine"
"87","Hypoxanthine"
"88","Glycyl Glycine"
"89","Cadaverine"
"90","Methionine sulfone"
"91","Myristic acid"
"92","Mannose"
"93","Galactose"
"94","Glucose"
"95","Galactose"
"96","Adenine"
"97","Glucose"
"98","Glucosamine"
"99","Mannitol"
"100","N Acetylglutamine"
"101","Sorbitol"
"102","Lysine"
"103","Glucuronic acid"
"104","Tyramine"
"105","Histidine"
"106","Glucuronic acid"
"107","Ascorbic acid"
"108","Tyrosine"
"109","Galacturonic acid"
"110","N6 Acetyllysine"
"111","1-Hexadecanol"
"112","Gluconic acid"
"113","Urocanic acid"
"114","Palmitoleic acid"
"115","Palmitic acid"
"116","Inositol"
"117","Uric acid"
"118","Margaric acid"
"119","Octadecanol"
"120","Cystathionine"
"121","Linoleic acid"
"122","Oleic acid"
"123","Tryptophan"
"124","Elaidic acid"
"125","Spermidine"
"126","Tryptamine"
"127","Stearic acid"
"128","Glucose 6 phosphate"
"129","Cystine"
"130","Oleamide"
"131","Docosahexaenoic acid"
"132","Sucrose"
"133","Adenosine"
"134","Lactose"
"135","Lactose"
"136","Trehalose"
"137","Spermine"
