"","2DG-1","2DG-2","2DG-3","Azide-1","Azide-2","Azide-3","Cer-1","Cer-2","Cer-3","DMSO-1","DMSO-2","DMSO-3"
"Label","2DG","2DG","2DG","Azide","Azide","Azide","Cer","Cer","Cer","DMSO","DMSO","DMSO"
"Glyoxylic acid-meto-TMS","1.0572498","2.4312840","1.7747994","0.5230512","1.2194413","1.3271231","0.6122881","2.1570476","1.8494061","1.3443622","0.5317621","1.6860796"
"Pyruvic acid-meto-TMS","2.4161936","4.2401734","3.2898252","0.3409247","0.8998784","0.7282075","1.1418722","0.5569071","0.8293312","3.5207087","0.8698333","0.4649718"
"Lactic acid-2TMS","2.2605500","2.2077998","1.7806109","0.3404379","0.9927835","1.1545726","0.4258008","4.1022781","3.0383839","1.4671635","0.5128439","4.0760511"
"Caproic acid-TMS","0.9616766","2.4393925","2.1135895","0.6466677","1.2272830","1.7403007","0.6686853","2.2520071","2.5664264","1.3983673","0.5719675","2.7022890"
"Glycolic acid-2TMS","2.9852260","2.2225715","1.7306455","0.5634459","0.8955723","1.5092890","0.7184104","2.2324157","2.0402736","1.7378077","0.5730151","1.9802546"
"Alanine-2TMS","0.22161589","0.36733343","0.13809036","0.26330610","0.07618681","0.15534423","0.22226478","0.26335263","0.24680049","0.88869831","0.03645910","0.15873908"
"Hydroxylamine-3TMS","1.6628403","2.7629867","2.9749555","0.8172571","1.9028164","2.0475270","0.7440599","2.7909230","3.6136323","1.5595234","0.5717350","4.0225618"
"Glycine-2TMS","0.09248961","0.10266573","0.06375821","0.14680576","0.03156027","0.08940788","0.12297396","0.11860582","0.10763115","0.35935293","0.01504239","0.05954989"
"Oxalic acid-2TMS","1.0079098","3.0115971","2.4418272","0.5194781","1.2360007","1.3543532","0.4837800","2.2371502","2.4189727","1.5715368","0.3606925","1.5719172"
"3-Hydroxypropionic acid-2TMS","1.1425239","2.3057349","1.8328202","0.6835370","1.1978957","1.7995001","0.5445485","2.2427215","2.3862160","1.3033146","0.4739238","2.6462047"
"2-Aminoisobutyric acid-2TMS","0.3221849","0.3221849","0.3221849","0.3221849","0.3221849","1.6109243","0.3221849","2.2073215","0.3221849","0.3221849","0.3221849","0.3221849"
"3-Hydroxybutyric acid-2TMS","0.9445875","2.5268018","1.5237049","0.4590924","1.2809094","1.8945304","0.6131215","2.4086149","2.5808103","1.4213085","0.3794449","2.6038839"
"Valine-2TMS","0.18431934","0.25253950","0.11257768","0.23794009","0.07089049","0.16968990","0.22480421","0.22862945","0.25324179","0.91603088","0.02866812","0.12560382"
"Urea-2TMS","0.6641194","1.6173834","1.2270853","0.7875094","0.6239737","0.8496725","0.4942990","1.9713666","1.6103795","1.0587586","0.5197891","1.9296653"
"Benzoic acid-TMS","1.0293482","1.9555190","1.7479827","0.5677168","1.1290220","1.2259673","0.6615674","1.4417234","1.9178745","1.4438144","0.7596740","1.4148449"
"2-Aminoethanol-3TMS","1.2183081","2.5297277","1.5895639","0.4688734","0.8505862","1.0892249","0.7414594","2.2412667","2.1471199","2.3803963","0.5849589","3.1645110"
"Glycerol-3TMS","0.5937268","1.0427232","0.8684529","0.5524379","0.4931092","0.9746473","0.6375901","1.6625148","1.9552298","1.5818884","0.3489344","1.2334046"
"Octanoic acid-TMS","0.9016618","2.6297522","1.7514370","0.5841221","1.3336506","1.9523945","0.6280964","2.1502088","2.6110710","1.5852582","0.5568168","2.2230756"
"Leucine-2TMS","0.18899000","0.25306511","0.11302058","0.23062237","0.07834884","0.17900425","0.24319025","0.21541179","0.23658122","1.11804434","0.02431406","0.14224829"
"Phosphoric acid-3TMS","0.6211763","1.0657683","1.0538081","0.4325840","0.4408830","0.8222880","0.4594373","0.9402342","1.4606928","1.6237716","0.2342402","0.9191297"
"Isoleucine-2TMS","0.18227143","0.25537737","0.11567120","0.23302167","0.07544122","0.17958239","0.26684762","0.21760115","0.22811518","1.11216920","0.02728304","0.13545613"
"Proline-2TMS","0.16793638","0.24829176","0.11629602","0.18390351","0.06547053","0.15769688","0.19642472","0.13917992","0.17298771","1.19358537","0.02367353","0.13908902"
"Glycine-3TMS","0.3578029","0.7717820","0.7622775","0.2142059","0.2675413","0.5287470","0.1437794","0.9364115","0.8094808","0.6428478","0.1338510","0.8435477"
"Succinic acid-2TMS","0.5479645","0.6666622","0.4196266","0.3425694","0.1498285","0.2554352","0.4857526","0.3063442","0.7646638","1.6516008","0.1260884","0.2419801"
"Glyceric acid-3TMS","2.3296732","1.5377963","0.9291583","0.1219075","0.8731881","0.9332982","1.2499216","1.4309694","1.3738764","2.3647853","0.6095373","0.9766989"
