Analyte#	Protein ID	Entry Name	Protein Description	Gene	Contaminants	Protein Group	Sub Group	Number of  Used Peptide Ions	Value.NM	Value.MIC	Numb.NM	Numb.MIC	Median.NM	Median.MIC	Avg.NM	Avg.MIC	STD.NM	STD.MIC	CV.NM	CV.MIC	pval.Multiple.ANOVA	pval.NM.vs.MIC.ttest
1	AAA30073.1	---	"AAA30073.1 ec1a, partial [Strongylocentrotus purpuratus]"	---	N	4967	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
2	AAA85106.1	---	"AAA85106.1 cortical granule protein with LDL-receptor-like repeats, partial [Strongylocentrotus purpuratus]"	---	N	1	a	1	---; ---; ---	0.885; 1.115; ---	0	2	---	1.000	---	1.000	---	0.163	---	16.30	---	---
3	AAB86471.1	---	"AAB86471.1 GTPase activating protein RanGAP1, partial [Strongylocentrotus purpuratus]"	---	N	2	a	2	1.177; 1.459; 1.186	1.112; 0.638; 0.95	3	3	1.186	0.950	1.274	0.900	0.160	0.241	12.56	26.78	0.0887559014377193	0.0887559014377193
4	AAC98546.1	---	AAC98546.1 stage specific activator protein [Strongylocentrotus purpuratus]	---	N	4968	a	5	1.182; 0.862; 1.079	1.017; 0.723; 1.247	3	3	1.079	1.017	1.041	0.996	0.163	0.263	15.66	26.41	0.812118779147005	0.812118779147005
5	AAD45010.1	---	AAD45010.1 HMG protein Tcf/Lef [Strongylocentrotus purpuratus]	---	N	4969	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
6	AAF71717.1	---	"AAF71717.1 amoeboid myosin I, partial [Strongylocentrotus purpuratus]"	---	N	4998	b	2	0.641; ---; ---	0.403; 1.439; 1.395	1	3	0.641	1.395	0.641	1.079	0	0.586	0.00	54.31	---	---
7	AAG02420.1	---	AAG02420.1 30 kDa yolk granule protein YP30 [Strongylocentrotus purpuratus]	---	N	6273	b	15	0.328; 0.896; 1.283	1.402; 1.229; 0.723	3	3	0.896	1.229	0.836	1.118	0.480	0.353	57.42	31.57	0.458026507241874	0.458026507241874
8	AAK11303.1	---	AAK11303.1 32kDa cortical vesicle protein CV34-38 precursor [Strongylocentrotus purpuratus]	---	N	4971	d	3	---; 1.45; 0.942	0.167; ---; 1.112	2	2	1.196	0.640	1.196	0.640	0.359	0.668	30.02	104.38	---	---
9	AAK11305.1	---	"AAK11305.1 31kDa cortical vesicle protein CV34-17, partial [Strongylocentrotus purpuratus]"	---	N	3	a	2	1.055; ---; 1.193	1.299; 0.698; 0.962	2	3	1.124	0.962	1.124	0.986	0.098	0.301	8.72	30.53	---	---
10	AAK11306.1	---	"AAK11306.1 33kDa cortical vesicle protein CV34-21, partial [Strongylocentrotus purpuratus]"	---	N	4971	a	6	0.799; 0.389; 0.308	1.369; 1.386; 1.734	3	3	0.389	1.386	0.499	1.496	0.263	0.206	52.71	13.77	0.00665322727038677	0.00665322727038677
11	AAK11307.1	---	AAK11307.1 cortical vesicle protein CV34-53 precursor [Strongylocentrotus purpuratus]	---	N	4971	b	1	0.46; 1.785; 1	0.233; 9.941; ---	3	2	1.000	5.087	1.082	5.087	0.666	6.865	61.55	134.95	---	---
12	AAK11308.1	---	"AAK11308.1 cortical vesicle protein CV34-24 precursor, partial [Strongylocentrotus purpuratus]"	---	N	4971	e	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
13	AAK11309.1	---	"AAK11309.1 cortical vesicle protein CV34-23, partial [Strongylocentrotus purpuratus]"	---	N	4971	g	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
14	AAK18276.1	---	AAK18276.1 syntaxin [Strongylocentrotus purpuratus]	---	N	4972	a	5	0.909; 1.146; 0.789	1.345; 1.662; 0.766	3	3	0.909	1.345	0.948	1.258	0.182	0.454	19.20	36.09	0.334579759266118	0.334579759266119
15	AAP21735.1	---	"AAP21735.1 ATPase 6, partial (mitochondrion) [Strongylocentrotus purpuratus]"	---	N	6886	b	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
16	AAT01141.1	---	"AAT01141.1 proteoliaisin, partial [Strongylocentrotus purpuratus]"	---	N	6172	d	2	0.095; ---; ---	1.311; 2.863; 0.806	1	3	0.095	1.311	0.095	1.660	0	1.072	0.00	64.58	---	---
